id,nome,cbf
0,Jean Lucas de Souza Oliveira,6
1,Mauricio Magalhaes Prado,27
2,Fernando Francisco Reges,5
3,Luis Oscar Gonzalez,AT
4,Lucas Nicolas Alario,31
5,Everaldo Stum,9
6,Gabriel Ivan Mercado,25
7,Fabricio Tomas Bustos Sein,16
8,Carlos Maria de Pena Bonino,14
9,Luis Oscar Gonzalez -,AT
10,Gregore de Magalhaes Silva,26
11,Arthur Gomes Lourenco,11
12,Jose Ivaldo Almeida Silva,5
13,Jose Antonio dos Santos Junior,11
14,Rafael da Silva,8
15,Danilo Barbosa da Silva,5
16,Rafael Elias da Silva,19
17,Alexander Nahuel Barboza Ullua -,20
18,TGRogerio Alves de Lima -,
19,Alerrandro Barra Mansa Realino de Souza,9
20,Richard Rios Montoya,27
21,Endrick Felipe Moreira de Sousa,9
22,Lucas Esteves Souza,16
23,Cleidson Andrade de Souza Silva,13
24,Gabriel Vinicius Menino,25
25,Mayke Rocha de Oliveira,12
26,Jose Manuel Alberto Lopez,42
27,Marcus Vinicius Oliveira Alencar,77
28,Luis Antonio da Rocha Junior,29
29,Luan Candido de Almeida,36
30,Claudio Rodrigues Gomes,23
31,Vitor Hugo Naum dos Santos,28
32,Jadsom Meemyas de Oliveira da Silva,5
33,TGJose Francisco Belman Gonzales,
34,André Trindade da Costa Neto,7
35,Rosicley Pereira da Silva,31
36,Ramon Angel Diaz,TC
37,Juan Sebastian Sforza,20
38,Joao Pedro Geraldino dos Santos Galvao,11
39,Joao Victor da Silva Marcelino,38
40,Lucas Piton Crivellaro,6
41,Rodrigo Andrés Battaglia,21
42,Jemerson de Jesus Nascimento,34
43,Angel Rodrigo Romero Villamayor,11
44,Fagner Conserva Lemos,23
45,Raniele Almeida Melo,14
46,Leandro Ignacio Avila,AT
47,Yuri Alberto Monteiro da Silva,9
48,Givanildo Vieira de Sousa,7
49,Everson Felipe Marques Pires,22
50,Renzo Saravia,26
51,Matheus Franca Silva,2
52,Hugo Ferreira de Farias,46
53,Carlos Miguel dos Santos Pereira,22
54,Maycon de Andrade Barberan,7
55,Antonio José Cardoso de Oliveira,TC
56,Tomas Pochettino,7
57,Emanuel Britez,19
58,Juan Martin Lucero,9
59,Luciano da Rocha Neves,10
60,Derik Gean Severino Lacerda,22
61,Alan Pereira Empereur,33
62,Filipe Augusto Carvalho Souza,5
63,Rhaldney Norberto Simião Gomes,8
64,Leonardo Pereira,4
65,Alejo Cruz Techera,7
66,Fabricio Bruno Soares de Faria,15
67,Guilherme Kennedy Romao,6
68,Adriano Martins da Fonseca,3
69,Giorgian Daniel de Arrascaeta Benedetti,14
70,Vagner Silva de Souza,20
71,Jair Zaksauskas Ribeiro Ventura -,TC
72,Alix Vinicius de Souza Sampaio -,4
73,Magno Jose da Silva -,2
74,Joao Lucas de Almeida Carvalho,2
75,Jose Marcos Alves Luis,3
76,Jean Carlos Vicente,20
77,Fellipe Mateus de Sena Araujo,7
78,Caique de Jesus Goncalves,95
79,Marcos Gabriel do Nascimento,10
