id,campeonatoId,rodada,partidaId,timeId,jogadorId,tempo,minuto,minutoGeral,jogador,time,horarioInt,horarioString
720,7,38,2271,47,12475,2,15:00,60,Diego Ivo Pires -,Crb,1185,19:45
721,7,38,2274,57,12490,1,3:00,3,Lucas Vinicius Dias Costa -,Ituano,1113,18:33
722,7,38,2274,27,12491,2,12:00,57,Andrey Nascimento dos Santos -,Vasco da Gama S.a.f.,1182,19:42
723,7,38,2279,9,12513,2,43:00,88,Vagner Silva de Souza -,Sport,1213,20:13
724,7,38,2279,9,12514,2,14:00,59,Fabio Goncalves -,Sport,1184,19:44
725,7,38,2279,9,12515,2,35:00,80,Ronaldo Henrique Ferreira da Silva -,Sport,1205,20:05
726,7,38,2279,9,12516,2,37:00,82,Gustavo Coutinho Silva Lopes -,Sport,1207,20:07
727,7,38,2279,9,12517,2,36:00,81,Denner Fernando Melz -,Sport,1206,20:06
728,7,38,2279,9,12518,2,43:00,88,Luciano Batista da Silva Junior -,Sport,1213,20:13
729,9,1,2281,55,12529,1,20:00,20,Reverson Valuarth Paiva Silva -,Novorizontino,980,16:20
730,9,1,2281,55,12530,2,49:00,94,MGAndre Baesso Rodrigues -,Novorizontino,1069,17:49
731,9,2,2291,3,12580,2,18:00,63,Emerson Raymundo Santos -,Atlético,1068,17:48
732,9,2,2292,59,12590,2,28:00,73,Thalisson Kelven da Silva -,Mirassol,1048,17:28
733,9,2,2292,22,12591,2,57:00,102,João Vitor Xavier de Almeida -,Avaí,1077,17:57
734,9,2,2294,55,12608,2,45:00,90,Roberto Heuchayer Santos de Araujo -,Novorizontino,1125,18:45
735,9,2,2296,10,12618,2,43:00,88,Tiago Pagnussat -,Ceará,1198,19:58
736,9,2,2298,57,12628,2,49:00,94,MDAlexandre Goncalves Santoro -,Ituano,769,12:49
737,9,2,2299,60,12632,1,46:00,46,Felipe Garcia Goncalves -,Abc,1126,18:46
738,9,3,2302,22,12658,1,42:00,42,Rafael Gustavo Meneghel Gava -,Avaí,1182,19:42
739,9,3,2303,47,12663,2,10:00,55,Lucas de Oliveira Teodoro Falcao -,Crb,1090,18:10
740,9,3,2307,50,12687,2,53:00,98,Jose Luiz Sant'ana -,Ponte Preta,1133,18:53
741,9,4,2319,53,12753,2,19:00,64,TGCelio Jose Rossi -,Sampaio Corrêa,1219,20:19
742,9,5,2321,3,12767,1,17:00,17,Airton Moises Santos Sousa -,Atlético,1217,20:17
743,9,5,2326,19,12792,2,47:00,92,Emerson Gustavo Pinto dos Santos -,Juventude,1202,20:02
744,9,5,2326,53,12793,1,45:00,45,Venicius dos Santos Cascais -,Sampaio Corrêa,1140,19:00
745,9,5,2328,56,12810,2,14:00,59,Joao Pedro Mendes Santos -,Tombense,1169,19:29
746,9,5,2328,22,12811,2,37:00,82,Victor Julio Alves de Paula -,Avaí,1192,19:52
747,9,6,2331,37,12831,1,48:00,48,Eder Citadin Martins -,Criciúma,1188,19:48
748,9,6,2331,37,12832,2,32:00,77,Rodrigo Fagundes de Freitas -,Criciúma,1232,20:32
749,9,6,2332,22,12840,1,3:00,3,Felipe Florencio da Silva -,Avaí,1293,21:33
750,9,6,2338,50,12876,2,1:00,46,Antonio Feliphe Costa Silva -,Ponte Preta,991,16:31
751,9,7,2349,47,12917,2,19:00,64,Guilherme Kennedy Romao -,Crb,1174,19:34
752,9,7,2349,47,12918,1,16:00,16,Lucas Eduardo Lima da Silva -,Crb,1111,18:31
753,9,8,2352,9,12939,2,28:00,73,Luis Fernando Rosa Flores -,Sport,1378,22:58
754,9,9,2364,37,13004,2,51:00,96,Claudio Coelho Salvatico -,Criciúma,1041,17:21
755,9,9,2368,56,13024,2,46:00,91,Marcelo Augusto Oliveira Chamusca -,Tombense,1201,20:01
756,9,10,2376,10,13073,2,54:00,99,Caique de Jesus Goncalves -,Ceará,1254,20:54
757,9,10,2377,22,13085,2,52:00,97,TGMarcos Vicente dos Santos -,Avaí,1072,17:52
758,9,11,2384,42,13121,2,35:00,80,Alan Santos da Silva -,Guarani,1235,20:35
759,9,11,2386,53,13135,2,22:00,67,Marcio Fernandes Figueiredo -,Sampaio Corrêa,1222,20:22
760,9,11,2386,46,13136,2,25:00,70,Paulo Roberto Moccelin -,Londrina,1225,20:25
761,9,11,2387,16,13146,2,27:00,72,Gildson Pablo de Oliveira Silva -,Chapecoense,1227,20:27
762,9,11,2388,56,13152,2,5:00,50,Roger de Carvalho -,Tombense,1205,20:05
763,9,12,2390,50,13158,1,48:00,48,Fabio Pizarro Sanches -,Ponte Preta,708,11:48
764,9,13,2404,59,13234,2,23:00,68,Fernando Jose Marques Maciel -,Mirassol,743,12:23
765,9,13,2405,19,13238,2,13:00,58,Jadson Alves dos Santos -,Juventude,1363,22:43
766,9,13,2406,53,13245,1,48:00,48,MGMarcos Riccelli Costa Mendes -,Sampaio Corrêa,978,16:18
767,9,14,2410,42,13267,2,44:00,89,Matheus Bueno Batista -,Guarani,1394,23:14
768,9,14,2411,56,13277,1,4:00,4,Bruno Cesar Pereira Silva -,Tombense,1294,21:34
769,9,14,2416,22,13305,2,28:00,73,Natanael Batista Pimenta -,Avaí,1228,20:28
770,9,14,2419,60,13329,2,2:00,47,Anderson Luiz Valinas dos Santos -,Abc,1202,20:02
771,9,14,2419,60,13330,2,49:00,94,Felipe Garcia Goncalves -,Abc,1249,20:49
772,9,14,2419,3,13331,2,31:00,76,Diego Terra Loureiro -,Atlético,1231,20:31
773,9,15,2428,16,13380,2,39:00,84,Rodrigo dos Santos de Freitas -,Chapecoense,1389,23:09
774,9,15,2429,47,13388,2,41:00,86,Auremir Evangelista dos Santos -,Crb,1196,19:56
775,9,16,2430,46,13394,2,40:00,85,Gustavo Salomao Miguel -,Londrina,760,12:40
776,9,16,2432,50,13410,2,42:00,87,Fabio Pizarro Sanches -,Ponte Preta,1122,18:42
777,9,16,2432,22,13411,1,5:00,5,Alexander Silva de Lucena -,Avaí,1025,17:05
778,9,16,2432,22,13412,2,15:00,60,Lucas Baptista Felix -,Avaí,1095,18:15
779,9,16,2438,53,13441,2,49:00,94,Leandro Ferreira Pessoa -,Sampaio Corrêa,1189,19:49
780,9,16,2439,37,13445,1,18:00,18,Walisson Moreira Farias Maia -,Criciúma,948,15:48
781,9,17,2441,9,13451,2,33:00,78,Helber Italo dos Santos -,Sport,1383,23:03
782,9,17,2446,57,13489,2,20:00,65,Rafael dos Santos Carvalheira Natividade -,Ituano,1370,22:50
783,9,17,2447,60,13496,2,47:00,92,Richardson Jussier Medeiros Cabral -,Abc,767,12:47
