id,nome,campeonatoId,arbitroId,rodada,data,horario,horarioInt,horas,periodo,estadio,casa,visitante,numAmarelos,numVermelhos
1362,223 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,3,64,23,10/08/2022,19:00,1140,19,Noite,Eládio de Barros Carvalho / Recife,44,42,5,1
1363,224 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,3,5,23,10/08/2022,21:30,1290,21,Noite,Heriberto Hulse / Criciuma,33,40,5,0
1364,225 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,3,11,23,09/08/2022,19:00,1140,19,Noite,Novelli Junior / Itu,50,37,3,0
1365,226 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,3,19,23,09/08/2022,21:00,1260,21,Noite,Jacy Scaff / Londrina,43,20,4,0
1366,227 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,3,0,23,09/08/2022,19:00,1140,19,Noite,Arena do Grêmio / Porto Alegre,23,48,2,1
1367,228 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,3,29,23,09/08/2022,21:30,1290,21,Noite,Governador João Castelo / Sao Luis,38,21,5,0
1368,229 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,3,67,23,09/08/2022,21:30,1290,21,Noite,Soares de Azevedo / Muriae,47,46,4,0
1369,230 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,3,34,23,10/08/2022,19:00,1140,19,Noite,Índio Condá / Chapeco,49,41,5,0
1370,231 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,3,25,24,13/08/2022,18:30,1110,18,Noite,Brinco de Ouro da Princesa / Campinas,40,44,2,0
1371,232 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,3,23,24,13/08/2022,20:30,1230,20,Noite,Rei Pelé / Maceio,42,23,3,2
1372,233 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,3,29,24,13/08/2022,16:00,960,16,Tarde,Arena Pernambuco Governador Carlos Wilson Campos / São Lourenço da Mata,37,36,3,1
1373,234 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,3,2,24,12/08/2022,21:30,1290,21,Noite,Augusto Bauer / Brusque,39,35,3,1
1374,235 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,3,6,24,14/08/2022,11:00,660,11,Manha,Dr. Jorge Ismael de Biasi / Novo Horizonte,41,33,5,0
1375,236 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,3,57,24,13/08/2022,11:00,660,11,Manha,Germano Kruger / Ponta Grossa,48,38,2,0
1376,237 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,3,16,24,13/08/2022,11:00,660,11,Manha,São Januário / Rio de Janeiro,45,47,7,1
1377,238 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,3,7,24,12/08/2022,21:30,1290,21,Noite,Octávio Mangabeira / Salvador,21,50,3,2
1378,239 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,3,13,24,13/08/2022,16:30,990,16,Tarde,Estádio Nacional Mané Garrincha / Brasilia,20,49,3,0
1379,240 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,3,28,24,12/08/2022,19:00,1140,19,Noite,Serra Dourada / Goiania,46,43,5,0
1380,241 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,3,19,25,20/08/2022,11:00,660,11,Manha,Moisés Lucarelli / Campinas,35,40,7,1
1381,242 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,3,24,25,18/08/2022,20:00,1200,20,Noite,Rei Pelé / Maceio,36,45,3,0
1382,243 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,3,22,25,19/08/2022,21:30,1290,21,Noite,Eládio de Barros Carvalho / Recife,44,46,3,0
1383,244 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,3,36,25,17/08/2022,19:00,1140,19,Noite,Heriberto Hulse / Criciuma,33,48,4,0
1384,245 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,3,27,25,19/08/2022,19:00,1140,19,Noite,Novelli Junior / Itu,50,41,5,0
1385,246 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,3,20,25,16/08/2022,20:30,1230,20,Noite,Jacy Scaff / Londrina,43,21,0,0
1386,247 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,3,7,25,21/08/2022,16:00,960,16,Tarde,Arena do Grêmio / Porto Alegre,23,20,6,1
1387,248 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,3,2,25,20/08/2022,19:00,1140,19,Noite,Governador João Castelo / Sao Luis,38,42,7,0
1388,249 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,3,3,25,18/08/2022,21:30,1290,21,Noite,Soares de Azevedo / Muriae,47,37,6,0
1389,250 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,3,29,25,20/08/2022,16:30,990,16,Tarde,Índio Condá / Chapeco,49,39,2,1
1390,251 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,3,15,26,27/08/2022,11:00,660,11,Manha,Brinco de Ouro da Princesa / Campinas,40,47,4,0
1391,252 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,3,26,26,27/08/2022,16:00,960,16,Tarde,Rei Pelé / Maceio,42,33,7,0
1392,253 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,3,6,26,23/08/2022,21:30,1290,21,Noite,Adelmar da Costa Carvalho / Recife,37,49,6,2
1393,254 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,3,8,26,26/08/2022,19:00,1140,19,Noite,Augusto Bauer / Brusque,39,43,6,1
1394,255 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,3,3,26,25/08/2022,21:30,1290,21,Noite,Dr. Jorge Ismael de Biasi / Novo Horizonte,41,35,8,2
1395,256 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,3,14,26,27/08/2022,18:30,1110,18,Noite,Germano Kruger / Ponta Grossa,48,36,7,0
1396,257 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,3,20,26,26/08/2022,19:00,1140,19,Noite,Arena do Grêmio / Porto Alegre,23,50,3,0
1397,258 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,3,9,26,28/08/2022,16:00,960,16,Tarde,Octávio Mangabeira / Salvador,21,22,4,0
1398,259 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,3,5,26,26/08/2022,21:30,1290,21,Noite,Raimundo Sampaio / Belo Horizonte,20,44,3,1
1399,260 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,3,16,26,25/08/2022,19:00,1140,19,Noite,Onésio Brasileiro Alvarenga / Goiania,46,38,2,0
1400,261 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,3,64,27,31/08/2022,21:30,1290,21,Noite,Moisés Lucarelli / Campinas,35,21,8,0
1401,262 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,3,1,27,30/08/2022,21:30,1290,21,Noite,Rei Pelé / Maceio,36,44,6,0
1402,263 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,3,32,27,30/08/2022,20:30,1230,20,Noite,Adelmar da Costa Carvalho / Recife,37,41,8,0
1403,264 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,3,19,27,30/08/2022,21:30,1290,21,Noite,Heriberto Hulse / Criciuma,33,23,4,0
1404,265 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,3,21,27,30/08/2022,20:30,1230,20,Noite,Novelli Junior / Itu,50,48,5,0
1405,266 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,3,57,27,30/08/2022,19:00,1140,19,Noite,Jacy Scaff / Londrina,43,42,4,0
1406,267 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,3,22,27,31/08/2022,19:00,1140,19,Noite,São Januário / Rio de Janeiro,22,40,3,0
1407,268 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,3,26,27,30/08/2022,19:00,1140,19,Noite,Governador João Castelo / Sao Luis,38,20,2,1
1408,269 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,3,34,27,30/08/2022,21:30,1290,21,Noite,Soares de Azevedo / Muriae,47,39,3,0
1409,270 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,3,8,27,29/08/2022,20:00,1200,20,Noite,Índio Condá / Chapeco,49,46,5,0
1410,271 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,3,29,28,03/09/2022,16:30,990,16,Tarde,Brinco de Ouro da Princesa / Campinas,40,38,5,0
1411,272 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,3,16,28,03/09/2022,17:00,1020,17,Tarde,Rei Pelé / Maceio,42,37,6,0
1412,273 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,3,19,28,02/09/2022,19:00,1140,19,Noite,Eládio de Barros Carvalho / Recife,44,50,4,0
1413,274 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,3,4,28,03/09/2022,16:30,990,16,Tarde,Augusto Bauer / Brusque,39,22,4,0
1414,275 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,3,11,28,03/09/2022,11:00,660,11,Manha,Dr. Jorge Ismael de Biasi / Novo Horizonte,41,36,4,0
1415,276 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,3,23,28,03/09/2022,20:30,1230,20,Noite,Germano Kruger / Ponta Grossa,48,43,6,1
1416,277 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,3,13,28,02/09/2022,21:30,1290,21,Noite,Arena do Grêmio / Porto Alegre,23,46,0,0
1417,278 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,3,26,28,03/09/2022,19:00,1140,19,Noite,Octávio Mangabeira / Salvador,21,47,4,0
1418,279 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,3,27,28,04/09/2022,16:00,960,16,Tarde,Magalhães Pinto / Belo Horizonte,20,33,7,1
1419,280 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,3,5,28,03/09/2022,19:00,1140,19,Noite,Índio Condá / Chapeco,49,35,5,0
1420,281 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,3,10,29,07/09/2022,19:00,1140,19,Noite,Moisés Lucarelli / Campinas,35,37,7,0
1421,282 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,3,0,29,10/09/2022,16:00,960,16,Tarde,Rei Pelé / Maceio,36,42,7,1
1422,283 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,3,2,29,09/09/2022,21:30,1290,21,Noite,Eládio de Barros Carvalho / Recife,44,39,7,1
1423,284 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,3,8,29,08/09/2022,19:00,1140,19,Noite,Heriberto Hulse / Criciuma,33,21,3,0
1424,285 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,3,61,29,10/09/2022,11:00,660,11,Manha,Novelli Junior / Itu,50,47,4,0
1425,286 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,3,27,29,10/09/2022,18:30,1110,18,Noite,Jacy Scaff / Londrina,43,49,5,0
1426,287 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,3,9,29,11/09/2022,16:00,960,16,Tarde,Arena do Grêmio / Porto Alegre,23,22,6,0
1427,288 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,3,14,29,07/09/2022,21:30,1290,21,Noite,Governador João Castelo / Sao Luis,38,41,6,0
