id,nome,cbf
166,Gabriel Baralhas dos Santos,17
167,Edson Felipe da Cruz,5
168,Philipe Sampaio Azevedo,94
169,Matheus de Sales Cabral,37
170,Magno Jose da Silva,2
171,Fellipe Ramos Ignez Bastos,8
172,Luan Madson Gedeao de Paiva,33
173,Pedro Raul Garay da Silva,11
174,Douglas Alan Schuck Friedrich,1
175,Bruno Cortes Barbosa,33
176,Lucas de Souza Ventura,5
177,Lucas Baptista Felix,97
178,Luiz Guilherme da Conceicao Silva,11
179,Andrew Erik Feitosa -,53
180,Pablo Nascimento Castro,30
181,Mario Sergio Santos Costa,31
182,Luis Manuel Orejuela Garcia,24
183,Christian Roberto Alves Cardoso,88
184,Matheus Felipe Santos Nascimento,42
185,Lucas Halter,33
186,Jailson Marcelino dos Santos,42
187,Murilo Cerqueira Paim,26
188,Jose Rafael Vivian,8
189,Marcos Luis Rocha Aquino,2
190,Vitor Ilidio Castanheiras Penas,AT
191,Eduardo Pereira Rodrigues,7
192,Thiago Maia Alencar,8
193,João Victor Gomes da Silva,35
194,Gabriel Barbosa Almeida,9
195,Marcio Rafael Ferreira de Souza,13
196,Leandro Del Giudice Macagnan,TC
197,Alisson Euler de Freitas Castro,12
198,Marcos Leonardo Santos Almeida,9
199,Madson Ferreira dos Santos,13
200,Fabian Daniel Bustos,TC
201,Rodrigo Fernandez Cedres,14
202,Lucas Pires Silva,44
203,TGLuis Miguel Moreira da Silva,
204,Willian Borges da Silva,10
205,Vitor Manuel de Oliveira Lopes Pereira,TC
206,Luis Antonio Ferreira Rodrigues,15
207,Matheus de Vargas,20
208,Brayan Andres Ceballos Jimenez,6
209,Paulo Roberto Moccelin,94
210,Rodrigo Alves Soares,2
211,Jonathan Doin,28
212,Isidro Miguel Pitta Saldivar,80
213,Marlon Adriano Prezotti,25
214,Joao Victor Santos Sa,29
215,Philipe Sampaio Azevedo,94
216,Edenilson Andrade dos Santos,8
217,Taison Barcellos Freda,7
218,Bruno Cesar Pereira Silva,8
219,Lucas Baptista Felix,97
220,Arthur Largura Chaves,31
221,Jean Cleber Santos da Silva,16
222,Cleiton Schwengber,18
223,Eric dos Santos Rodrigues,16
224,Ramon Ramos Lima,6
225,Helio Junio Nunes de Castro,11
226,Aderlan de Lima Silva,13
227,Mauricio Nogueira Barbieri,TC
228,Rodrigo Oliveira Lindoso,19
229,Ramon Ramos Lima -,6
230,Givanildo Vieira de Sousa,7
231,Guilherme Antonio Arana Lopes,13
232,Jair Rodrigues Junior,8
233,Nathanael Ananias da Silva,40
234,Danilo Carvalho Barcelos,14
235,Adailson Freire Pereira da Silva,97
236,Reynaldo Cesar Moraes,29
237,Elvis Vieira Araujo,10
238,Matheus Alves da Silva Cardoso,94
239,Joao Lucas de Almeida Carvalho,2
240,Everton Cardoso da Silva,11
241,André Trindade da Costa Neto,7
242,David de Duarte Macedo,29
243,Paulo Henrique Chagas de Lima,10
244,Marco Aurelio de Oliveira,TC
245,André Trindade da Costa Neto -,7
246,Allan Rodrigues de Souza,29
247,Rever Humberto Alves de Araujo,4
248,Givanildo Vieira de Sousa,7
249,Marcos da Silva Franca,11
250,Gustavo Cesar Mendonça Gravino,18
251,Felipe Azevedo dos Santos,11
252,Adilson dos Anjos Oliveira,8
253,Eder Ferreira Graminho,33
254,Felipe Azevedo dos Santos -,11
255,Andreas Hugo Hoelgebaum Pereira,18
256,Renzo Saravia,2
257,Daniel Fortunato Borges,20
258,Luis Felipe Oyama,55
259,Luis Manuel Ribeiro de Castro,TC
260,Bruno Ferreira Melo,27
261,Gustavo Henric da Silva,19
262,Jadsom Meemyas de Oliveira da Silva,5
263,Joao Miguel Barreto Martins,AT
264,Abel Fernando Moreira Ferreira,TC
265,Gustavo Raul Gomez Portillo,15
266,Fernando Diniz Silva,TC
267,Gustavo Nonato Santana,8
268,Wellington Aparecido Martins,5
269,Joao Miguel Barreto Martins -,AT
270,Vinicius Nelson de Souza Zanocelo,25
271,Everton Cardoso da Silva,11
272,Cristhian Yonaiker Rivas Vielma,5
273,Mauricio Magalhaes Prado,27
274,Sidnei de Espirito,AT
275,Edenilson Andrade dos Santos,8
276,Wanderson Maciel Sousa Campos,11
277,Alan Patrick Lourenço,10
278,Pedro Henrique Konzen Medina da Silva,28
279,William Matheus da Silva,6
280,Oscar Ramon Ruiz Roa,11
281,Darlan Pereira Mendes,8
282,Vitor Mendes Alves,34
283,Jadson Alves dos Santos,16
284,Diego Henrique Costa Barbosa,4
285,Luciano da Rocha Neves,11
286,Igor Silveira Gomes,26
287,Marcelo da Conceiçao Benevenuto Malaquias,5
288,Glaybson Yago Souza Lisbôa,22
289,Joao Victor Andrade Caetano,4
290,Henrique Lordelo Souza de Oliveira,55
291,Danilo Carvalho Barcelos,14
292,Leonardo Augusto dos Santos Pereira,11
293,Hayner Willian Monjardim Cordeiro,13
294,Jorge de Moura Xavier,10
295,Gabriel Baralhas dos Santos,5
296,Henrique Lordelo Souza de Oliveira -,55
297,Henrique Adriano Buss,3
298,Matheus Alexandre Anastacio de Souza,2
299,Alef Mangueira Severino Pereira,11
300,Jean Cleber Santos da Silva,16
301,William de Oliveira Pottker,90
302,Jean Pyerre Casagrande Silveira Correa,21
303,Bruno de Jesus Pacheco,6
304,Rodrigo Oliveira Lindoso,19
305,Dorival Silvestre Junior,TC
306,Joao Ricardo Riedi,1
307,Jose Roberto Assunçao de Araujo Filho,63
308,PFTulio Flores dos Santos,
309,Pedro Henrique Ribeiro Goncalves,34
310,Hugo Moura Arruda da Silva,17
311,Vitor Hugo Naum dos Santos,11
312,Vitor Hugo Roque Ferreira,39
313,Bento Matheus Krepski,1
314,Nathanael Ananias da Silva,40
315,Leonardo Augusto dos Santos Pereira,11
316,Gabriel Baralhas dos Santos,5
317,Jhon Adolfo Arias Andrade,21
318,Willian Gomes de Siqueira,17
319,Yago Felipe da Costa Rocha,20
320,Pablo Fabricio Siles Morales,25
321,Tomas Esteban Cuello,28
322,Igor Silveira Gomes,26
323,Luciano da Rocha Neves,11
324,Marllon Goncalves Jeronimo Borges,3
325,Jonathan Renato Barbosa -,19
326,Gustavo Raul Gomez Portillo,15
327,Mayke Rocha de Oliveira,12
328,Natan Bernardo de Souza,21
329,Nathan Camargo dos Santos,48
330,Brayan Andres Ceballos Jimenez,6
331,Gaston Ricardo Liendo,AT
332,Diego Goncalves,11
333,Patrick de Paula Carreiro,8
334,Victor Hugo Soares dos Santos,4
335,Brayan Andres Ceballos Jimenez -,6
336,Joao Alves de Assis Silva,77
337,Maycon de Andrade Barberan,5
338,Vitor Manuel de Oliveira Lopes Pereira,TC
339,Luiz Antonio Venker Menezes,TC
340,Rodrigo Dourado Cunha,13
341,Marcos Paulo Lima Batista Silva,47
342,Pablo Nascimento Castro,30
343,Hugo de Souza Nogueira,45
344,Ayrton Lucas Dantas de Medeiros,6
345,Bruno Henrique Pinto,27
346,Lucas Ribeiro dos Santos,14
347,Geovane da Silva de Souza,21
348,Richardson Fernandes dos Santos,7
349,John Steven Mendoza Valencia,10
350,Erick de Arruda Serafim,11
351,Fabian Daniel Bustos,TC
352,Rodrigo Alves Soares,2
353,Jonathan Doin,28
354,Yuri Oliveira Lima,50
355,Guilherme Parede Pinheiro,77
356,Cesar Augusto Soares dos Reis Ribela,31
357,Raniele Almeida Melo,14
358,Matheus Simonete Bressanelli,26
359,Francisco Hyun Sol Kim -,23
360,Paulo Roberto Moccelin -,94
361,Willian Roberto de Farias,8
