id,nome,cbf
0,Guilherme de Aguiar Camacho,20
1,Roni Medeiros de Moura,29
2,Ramiro Moschen Benetti,8
3,Angelo Giovani Araos Llanos,21
4,Luan Guilherme de Jesus Vieira,7
5,Marlon Rodrigues Freitas,8
6,Nathanael Ananias da Silva,3
7,Willian Marlon Ferreira Moraes,5
8,Reinaldo Manoel da Silva,6
9, Alejandro Gabriel Kohan,
10,Yago Felipe da Costa Rocha,20
11, Roger Machado Marques,
12,Abel Mathias Hernandez Platero,32
13,Allan Rodrigues de Souza,29
14,Igor Rabello da Costa,16
15,Lucas de Figueiredo Crispim,10
16,Wellington Pereira do Nascimento,9
17,Felipe Alves Raymundo,12
18,Ederson Jose dos Santos Lourenco da Silva,13
19,Carlos Eugenio Junior Tavares dos Santos,10
20,Rafael Thyere de Albuquerque Marques,15
21,Lucas Ribeiro dos Santos,14
22,Mauricio Magalhaes Prado,27
23,Moises Roberto Barbosa,20
24,Carlosalonso Enrique Palacios Nunez,16
25,Thiago dos Santos,5
26,Pedro Tonon Geromel,3
27, Clesly Evandro Guimaraes,
28,Jhonata Robert Alves da Silva,25
29,Messias Rodrigues da Silva Junior,3
30,Marcos Ytalo Benicio da Silva,27
31,Charles Rigon Matos,35
32,Matheus Bahia Santos,79
33,Rosicley Pereira da Silva,7
34,Patrick de Lucca Chaves de Oliveira,45
35,Mario Sergio Santos Costa,11
36,Alison Lopes Ferreira,5
37,Luan Peres Petroni,14
38,Anderson de Jesus Santos,4
39,Jose Ricardo Barbosa Ribeiro Drumond,5
40,Maycon Vinicius Ferreira da Cruz,11
41,Moises Ribeiro Santos,5
42,Alyson Vinicius Almeida Neves,6
43,Eduardo Maciel de Barros,AT
44,PFGian Pedro de Oliveira Vieira,
45,Michel Macedo Rocha Machado,2
46,Guilherme Castilho Carvalho,8
47,Joao Lucas de Almeida Carvalho,13
48,Matheus Martinelli Lima,38
49,Yago Felipe da Costa Rocha,20
50,Clayson Henrique da Silva Vieira,10
51,Wesley Ribeiro Silva,11
52,Raphael Cavalcante Veiga,23
53,Luan Peres Petroni,14
54,Marcos Rogerio Ricci Lopes,21
55,Alison Lopes Ferreira,5
56,Fernando Diniz Silva,TC
57,Gabriel Santos Cordeiro Lacerda,15
58,Angelo Giovani Araos Llanos,21
59,Guilherme de Aguiar Camacho,20
60,Gabriel Girotto Franco,5
61,Luiz Carlos Cirne Lima de Lorenzi,TC
62,Eduardo Gabriel dos Santos Bauermann,3
63,Lucas Ribamar Lopes dos Santos Bibiano,19
64,Jhonata Robert Alves da Silva,25
65,Lucas Silva Borges,16
66,Jaminton Leandro Campaz,7
67,Rene Rodrigues Martins,6
68,Robert Kenedy Nunes do Nascimento,33
69,Brenno Oliveira Fraga Costa -,20
70,Jhonata Robert Alves da Silva -,25
71,Caio Vidal Rocha,47
72,Thiago Galhardo do Nascimento Rocha,17
73,Moises Roberto Barbosa,20
74,Bruno Conceicao Praxedes,18
75,Matheus Isaias dos Santos,16
76,Vitor Hugo Batista Araujo de Mendonça -,32
77,Pedro Henrique Alves Santana -,41
78,Hyoran Kaue Dalmoro,20
79,Igor Rabello da Costa,16
80,Marcos Vinicius Sousa Natividade,97
81,Gustavo Silva de Oliveira,39
82,Rafael Thyere de Albuquerque Marques,15
83,Jonas Gomes de Sousa,27
84,Edson Fernando da Silva Gomes,35
85,Matheus Galdezani,20
86,Lucas Araujo de Oliveira,34
87,Mauricio Nogueira Barbieri,TC
88,Pedro Gabriel Pereira Lopes,33
89,Jadsom Meemyas de Oliveira da Silva,5
90,Jaime Alberto Alvarado Hoyos,15
91,Antonio José Cardoso de Oliveira,AT
92,Matheus Barcelos da Silva,21
93,Paulo Autuori de Mello,TC
94,Paulo Autuori de Mello -,TC
95,Igor Vinicius de Souza,2
96,Leonardo Pinheiro da Conceicao,16
97,Reinaldo Manoel da Silva,6
98,Rodrigo Nestor Bertalia,25
99,Tiago Luis Volpi,1
100,Willian Marlon Ferreira Moraes,5
101,Natanael Batista Pimenta,11
102,Lucas Gabriel Ribeiro Firmo,20
103,Janderson Santos de Souza,7
104,Renan Victor da Silva,3
105,Wesley Ribeiro Silva,11
106,Felipe Melo de Carvalho,30
107,Jean Mota Oliveira de Sousa,41
108,Luan Peres Petroni,14
109,Guilherme Castilho Carvalho,8
110,Elton Junior Melo Ataide,5
111,Eduardo Maciel de Barros,AT
112,Joao Victor da Vitoria Fernandes,7
