id,partidaId,timeId,jogadorId,tempo,minuto,minutoGeral,jogador,time,horarioInt,horarioString
0,14,11,69,2,31:00,76,Brenno Oliveira Fraga Costa -,Grêmio,1351,22:31
1,14,11,70,2,14:00,59,Jhonata Robert Alves da Silva -,Grêmio,1334,22:14
2,15,8,76,2,44:00,89,Vitor Hugo Batista Araujo de Mendonça -,Internacional,1064,17:44
3,15,8,77,1,44:00,44,Pedro Henrique Alves Santana -,Internacional,1004,16:44
4,18,14,94,2,41:00,86,Paulo Autuori de Mello -,Athletico Paranaense,1196,19:56
5,25,9,131,2,27:00,72,Emaxwell Souza de Lima -,Sport,1317,21:57
6,26,8,141,2,7:00,52,Lucas Ribeiro dos Santos -,Internacional,1297,21:37
7,29,3,162,1,9:00,9,Willian Marlon Ferreira Moraes -,Atlético,1149,19:09
8,32,4,178,1,41:00,41,Rodrigo Nestor Bertalia -,São Paulo,1181,19:41
9,34,6,185,1,45:00,45,Avlamir Dirceo Stival -,Atlético Mineiro,1185,19:45
10,39,3,221,2,44:00,89,Anderson Leal Gomes -,Atlético,1244,20:44
11,41,15,235,2,47:00,92,Cauan Felipe de Almeida -,America,767,12:47
12,53,15,283,2,28:00,73,Ricardo Cesar Dantas da Silva -,America,1048,17:28
13,56,14,301,2,42:00,87,Marcio Almeida de Oliveira -,Athletico Paranaense,1392,23:12
14,56,14,302,1,13:00,13,Richard Candido Coelho -,Athletico Paranaense,1303,21:43
15,58,8,314,2,50:00,95,Danilo Fernandes Batista -,Internacional,1250,20:50
16,58,8,315,2,50:00,95,Caio Vidal Rocha -,Internacional,1250,20:50
17,58,16,316,2,50:00,95,Bruno da Silva Costa -,Chapecoense,1250,20:50
18,60,5,328,2,5:00,50,Abel Mathias Hernandez Platero -,Fluminense,1025,17:05
19,62,6,344,2,46:00,91,Allan Rodrigues de Souza -,Atlético Mineiro,1336,22:16
20,64,11,356,2,13:00,58,Walter Kannemann -,Grêmio,1273,21:13
21,74,1,396,2,17:00,62,Benjamin Kuscevic Jaramillo -,Palmeiras,1217,20:17
22,75,7,406,2,8:00,53,Juan Sebastian Quintero Fletcher -,Fortaleza,1028,17:08
23,77,10,417,2,44:00,89,Cleber Bomfim de Jesus -,Ceará,1064,17:44
24,85,19,456,2,24:00,69,Guilherme Castilho Carvalho -,Juventude,1179,19:39
25,105,7,551,2,37:00,82,Gaston Ricardo Liendo -,Fortaleza,1327,22:07
26,109,18,568,1,38:00,38,Joao Pedro Vilardi Pinto -,Cuiabá,1133,18:53
27,114,19,596,2,34:00,79,Guilherme Castilho Carvalho -,Juventude,1324,22:04
28,114,19,597,2,41:00,86,Marcos Vinicius Santos Goncalves -,Juventude,1331,22:11
29,120,0,641,2,34:00,79,MDMarcio Alves Tannure -,Flamengo,1054,17:34
30,125,17,665,1,48:00,48,Mauricio Nogueira Barbieri -,Red Bull Bragantino,1008,16:48
31,128,16,685,2,36:00,81,MDSamuel Ricardo Banaszeski -,Chapecoense,1176,19:36
32,129,18,689,2,48:00,93,Anderson Conceicao Benedito -,Cuiabá,1308,21:48
33,132,4,701,2,49:00,94,Emiliano Ariel Rigoni -,São Paulo,1249,20:49
34,133,6,710,2,44:00,89,Eduardo Jesus Vargas Rojas -,Atlético Mineiro,1064,17:44
35,134,8,716,2,45:00,90,Moises Roberto Barbosa -,Internacional,1305,21:45
36,138,16,735,2,35:00,80,Keiller da Silva Nunes -,Chapecoense,1190,19:50
37,138,16,736,1,43:00,43,Emilio Carlos Tannus Faro -,Chapecoense,1138,18:58
38,139,3,741,2,46:00,91,FTJoao Rodrigues dos Santos Neto -,Atlético,1336,22:16
