id,nome,campeonatoId,arbitroId,rodada,data,horario,horarioInt,horas,periodo,estadio,casa,visitante,numAmarelos,numVermelhos
0,1 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,0,0,1,30/05/2021,16:00,960,16,Tarde,Jornalista Mário Filho / Rio de Janeiro,0,1,0,0
1,2 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,0,1,1,30/05/2021,18:15,1095,18,Noite,Arena Corinthians / Sao Paulo,2,3,8,0
2,3 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,0,2,1,29/05/2021,21:00,1260,21,Noite,Cícero Pompeu de Toledo / Sao Paulo,4,5,5,0
3,4 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,0,3,1,30/05/2021,11:00,660,11,Manha,Magalhães Pinto / Belo Horizonte,6,7,6,0
4,5 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,1,4,1,30/05/2021,20:30,1230,20,Noite,José Pinheiro Borda / Porto Alegre,8,9,6,0
5,6 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,0,5,1,30/05/2021,16:00,960,16,Tarde,Governador Plácido Aderaldo Castelo / Fortaleza,10,11,7,0
6,7 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,0,6,1,29/05/2021,20:00,1200,20,Noite,Roberto Santos / Salvador,12,13,6,0
7,8 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,1,7,1,30/05/2021,18:15,1095,18,Noite,Joaquim Américo Guimarães / Curitiba,14,15,3,0
8,9 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,0,8,1,30/05/2021,18:15,1095,18,Noite,Índio Condá / Chapeco,16,17,1,0
9,10 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,1,9,1,29/05/2021,19:00,1140,19,Noite,Arena Pantanal / Cuiaba,18,19,6,0
10,11 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,1,10,2,06/06/2021,11:00,660,11,Manha,São Januário / Rio de Janeiro,5,18,3,0
11,12 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,1,11,2,06/06/2021,18:15,1095,18,Noite,Allianz Parque / Sao Paulo,1,16,2,0
12,13 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,1,12,2,05/06/2021,21:00,1260,21,Noite,Urbano Caldeira / Santos,13,10,5,0
13,14 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,1,13,2,06/06/2021,16:00,960,16,Tarde,Raimundo Sampaio / Belo Horizonte,15,2,6,0
14,15 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,1,14,2,23/11/2021,21:00,1260,21,Noite,Arena do Grêmio / Porto Alegre,11,0,5,2
15,16 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,1,15,2,06/06/2021,16:00,960,16,Tarde,Governador Plácido Aderaldo Castelo / Fortaleza,7,8,5,2
16,17 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,1,16,2,06/06/2021,20:30,1230,20,Noite,Adelmar da Costa Carvalho / Recife,9,6,5,0
17,18 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,1,17,2,05/06/2021,21:00,1260,21,Noite,Nabi Abi Chedid / Braganca Paulista,17,12,7,0
18,19 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,1,18,2,06/06/2021,18:15,1095,18,Noite,Alfredo Jaconi / Caxias do Sul,19,14,4,1
