id,partidaId,timeId,jogadorId,tempo,minuto,minutoGeral,jogador,time,horarioInt,horarioString
0,0,0,0,2,09:00,54,Nathanael Ananias da Silva,Atlético Mineiro,1029,17:09
1,0,0,1,2,17:00,62,Guilherme Antonio Arana Lopes,Atlético Mineiro,1037,17:17
2,0,1,2,2,22:00,67,Carlos Maria de Pena Bonino,Internacional,1042,17:22
3,0,1,3,2,31:00,76,Gabriel Ivan Mercado,Internacional,1051,17:31
4,0,1,4,1,36:00,36,Keiller da Silva Nunes,Internacional,996,16:36
5,0,1,5,1,44:00,44,Gabriel Girotto Franco,Internacional,1004,16:44
6,1,2,6,2,02:00,47,Manoel Messias Silva Carvalho,Fluminense,1052,17:32
7,2,4,7,1,22:00,22,Alisson Euler de Freitas Castro,São Paulo,1162,19:22
8,2,5,8,2,04:00,49,Pedro Henrique Ribeiro Goncalves,Athletico Paranaense,1204,20:04
9,2,5,9,2,11:00,56,Vitor Frezarin Bueno,Athletico Paranaense,1211,20:11
10,2,5,10,2,36:00,81,Christian Roberto Alves Cardoso,Athletico Paranaense,1236,20:36
11,3,6,11,2,05:00,50,Marcos Luis Rocha Aquino,Palmeiras,1325,22:05
12,3,6,12,1,19:00,19,Jorge Marco de Oliveira Moraes,Palmeiras,1279,21:19
13,3,6,13,1,31:00,31,Jose Rafael Vivian,Palmeiras,1291,21:31
14,3,6,14,1,36:00,36,Abel Fernando Moreira Ferreira,Palmeiras,1296,21:36
15,3,6,15,2,55:00,100,Danilo dos Santos de Oliveira,Palmeiras,1375,22:55
16,3,7,16,2,17:00,62,Richard Candido Coelho,Ceará,1337,22:17
17,3,7,17,1,26:00,26,Vinicius Goes Barbosa de Souza,Ceará,1286,21:26
18,3,7,18,1,27:00,27,John Steven Mendoza Valencia,Ceará,1287,21:27
19,3,7,19,2,27:00,72,Erick de Arruda Serafim,Ceará,1347,22:27
20,3,7,20,1,32:00,32,Luiz Otavio Anacleto Leandro,Ceará,1292,21:32
21,3,7,21,2,36:00,81,Geovane da Silva de Souza,Ceará,1356,22:36
22,3,7,22,2,48:00,93,Dorival Silvestre Junior,Ceará,1368,22:48
23,3,7,23,2,55:00,100,Severino do Ramo Clementino da Silva,Ceará,1375,22:55
