id,nome,campeonatoId,arbitroId,rodada,data,horario,horarioInt,horas,periodo,estadio,casa,visitante,numAmarelos,numVermelhos
104,105 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,0,12,11,13/06/2022,19:00,1140,19,Noite,Nilton Santos / Rio de Janeiro,8,16,9,1
105,106 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,0,7,11,11/06/2022,21:00,1260,21,Noite,José Pinheiro Borda / Porto Alegre,1,15,6,0
106,107 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,0,20,11,12/06/2022,19:00,1140,19,Noite,Governador Plácido Aderaldo Castelo / Fortaleza,12,5,4,0
107,108 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,0,2,11,12/06/2022,16:00,960,16,Tarde,Hailé Pinheiro / Goiania,19,7,9,1
108,109 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,0,11,11,11/06/2022,19:00,1140,19,Noite,Arena Pantanal / Cuiaba,13,11,6,0
109,110 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,0,16,11,12/06/2022,18:00,1080,18,Noite,Major Antônio Couto Pereira / Curitiba,18,6,3,1
110,111 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,0,1,12,15/06/2022,21:30,1290,21,Noite,Raimundo Sampaio / Belo Horizonte,17,2,4,1
111,112 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,0,13,12,15/06/2022,20:30,1230,20,Noite,Jornalista Mário Filho / Rio de Janeiro,15,13,4,0
112,113 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,0,19,12,15/06/2022,19:00,1140,19,Noite,Nabi Abi Chedid / Braganca Paulista,11,18,3,0
113,114 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,0,10,12,16/06/2022,18:00,1080,18,Noite,Allianz Parque / Sao Paulo,6,14,5,1
114,115 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,0,4,12,16/06/2022,16:00,960,16,Tarde,Nilton Santos / Rio de Janeiro,8,4,10,0
115,116 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,0,5,12,14/06/2022,21:30,1290,21,Noite,Alfredo Jaconi / Caxias do Sul,10,3,3,1
116,117 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,0,8,12,15/06/2022,19:00,1140,19,Noite,Governador Plácido Aderaldo Castelo / Fortaleza,7,0,5,0
117,118 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,0,3,12,15/06/2022,20:30,1230,20,Noite,Hailé Pinheiro / Goiania,19,1,7,0
118,119 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,0,9,12,16/06/2022,19:00,1140,19,Noite,Aderbal Ramos da Silva / Florianopolis,16,12,4,0
119,120 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,0,16,12,15/06/2022,21:30,1290,21,Noite,Joaquim Américo Guimarães / Curitiba,5,9,4,2
120,121 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,0,9,13,19/06/2022,16:00,960,16,Tarde,Magalhães Pinto / Belo Horizonte,0,15,5,0
121,122 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,0,5,13,19/06/2022,19:00,1140,19,Noite,Jornalista Mário Filho / Rio de Janeiro,2,16,3,0
122,123 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,0,1,13,20/06/2022,20:00,1200,20,Noite,Cícero Pompeu de Toledo / Sao Paulo,4,6,4,0
