id,nome,cbf
0,Gabriel Teixeira Aragao,17
1,Diogo Barbosa Mendanha,6
2,Antonio Josenildo Rodrigues de Oliveira,26
3,Helio Cezar Pinto dos Anjos,TC
4,Bernardo de Paulo Silva,13
5,Wesley Lopes Beltrame,8
6,Rafael Bilu Mudesto,7
7,Rodrigo Fagundes de Freitas,3
8,Hygor Cleber Garcia Silva,18
9,Arilson Carlos Alves Baptista,8
10,Fabricio Rodrigues da Silva Ferreira,98
11,Ray Andres Vanegas Zuniga,11
12,Mateus da Silva Duarte,2
13,Wesley Dias Claudino,15
14,Gabriel Buscariol Poveda,9
15,Anmerson da Silva Soares,17
16,João Victor Carroll Santana,28
17,Ronaldo Luiz Alves,22
18,TGSilvano de Morais Silva,
19,Madison Araujo Costa,98
20,Giovanni Augusto Oliveira Cardoso,10
21,Matheus Pereira de Souza,16
22,Bruno Henrique Fortunato Aguiar,4
23,Everton Paulo Strieder,3
24,Christofoly Acioly da Silva,2
25,Wellington Carvalho dos Santos,15
26,Vinicius Duarte,18
27,Emerson Ramon Bezerra Oliveira,21
28,Iago Pereira Mendonça,4
29,Welington Pereira Rodrigues,3
30,Diego de Souza Quirino,9
31,Felipe Albuquerque Felippi,2
32,Douglas Baggio de Oliveira Costa,20
33,Jose Walber Mota de Amorim,13
34,Carlos Eduardo da Silva Santos,3
35,Carlos Eugenio Junior Tavares dos Santos,6
36,Marcio Rodrigues Velasco,18
37,Jhonny Lucas Flora Barboza,8
38,Gabriel dos Santos Francisco,9
39,Yuri Lima Lara,5
40,Jose Gabriel dos Santos Silva,23
41,Alex da Silva,2
42,Matheus Cotulio Bossa,7
43,Patrick de Lucca Chaves de Oliveira,45
44,Eduardo Schroeder Brock,14
45,Rafael Lucas Cardoso dos Santos,36
46,Paulo Cesar Pezzolano Suarez,TC
47,Wagner Leonardo Calvelo de Souza -,3
48,Thales Natanael Lira de Matos,3
49,Paulo de Souza Junior,7
50,Manoel Ferreira Lima Neto,6
51,Jose Ricardo Araujo Fernandes,8
52,Igor Henrique Martins Machado,10
53,Fernando Augusto Pereira Bueno Junior,6
54,Kaio Silva Mendes,7
55,Bernardo Schappo,4
56,Lucas Santos Siqueira,8
57,Ezequiel Jacinto de Biasi,22
58,Ray Andres Vanegas Zuniga,11
59,Giovanni Augusto Oliveira Cardoso,10
60,Nicolas Mores da Cruz,11
61,Matheus Pereira de Souza,16
62,Gabriel Fortes Chaves,11
63,Jose Gabriel dos Santos Silva,23
64,Marthã Fernando Goncalves Pimenta,5
65,Raul Prata,2
66,Douglas do Espirito Santo Torres,2
67,Daniel Sampaio Simoes,10
68,Julio Cesar de Rezende Miranda,5
69,Alexandre Faganello,AT
70,Diogo Hereda da Silva,2
71,Pedro Vitor Ferreira da Silva,20
72,Welker Marcal Almeida,9
73,Djavan Aulim Candido de Souza -,5
74,Douglas do Espirito Santo Torres -,2
75,Marcio Rodrigues Velasco,7
76,Joao Paulo da Silva,5
77,Saimon Pains Tormen,4
78,Werley Ananias da Silva,3
79,Geovane Silva Santos,15
80,Igor Inocencio de Oliveira,29
81,Marcelo Henrique Passos Carne,31
82,Gabriel de Sousa Barros,20
83,Rafael Elias da Silva,9
84,Danilo Gomes Magalhaes,9
85,Fernando Jose da Cunha Neto,8
86,TGLauro Junior Batista da Cruz -,
87,Moises Ribeiro Santos -,7
88,Victor Ramos Ferreira,4
89,Matheus Henrique Bianqui,18
90,Luiz Henrique Mendes Silva da Costa,7
91,Renato Vieira Rodrigues,10
92,Mateus da Silva Duarte,2
93,Joecio Barbosa dos Santos,13
94,Everton Galdino Moreira,11
95,Jose Ricardo Araujo Fernandes,8
96,Gerson Rodolfo da Silva,5
97,Lucas da Cruz Oliveira,26
98,Rafael Lucas Cardoso dos Santos,36
99,Rafael Victor Silva Santos,15
100,Arthur Rodrigues Rezende,8
101,Douglas Baggio de Oliveira Costa,7
102,Lucas Costa da Silva,11
103,Wallace Madeira Almeida,8
104,Anselmo Ramon Alves Herculano,9
105,Norberto Pereira Marinho Neto,2
106,Lucca Borges de Brito,10
107,Wallisson Luiz Alves Maximo,25
108,Helio Cezar Pinto dos Anjos,TC
109,Ramon Rodrigo de Carvalho,40
110,Marco Antonio Rosa Furtado Junior,7
111,Julio Cesar de Rezende Miranda,5
112,Patrick de Lucca Chaves de Oliveira,45
113,Bruno Ferreira Mombra Rosa,25
114,Gabriel Santana Pinto,27
