id,nome,credencial,estado
0,Paulo Roberto Alves Junior,AB,PR
1,Thiago Luis Scarascati,AB,SP
2,Denis da Silva Ribeiro Serafim,AB,AL
3,Jefferson Ferreira de Moraes,AB,GO
4,Paulo Henrique Schleich Vollkopf,AB,MS
5,Paulo Cesar Zanovelli da Silva,AB,MG
6,Leandro Pedro Vuaden,MTR,RS
7,Ramon Abatti Abel,AB,SC
8,Rodrigo Jose Pereira de Lima,AB,PE
9,Marcelo de Lima Henrique,MTR,CE
10,Alisson Sidnei Furtado,AB,TO
11,Diego Pombo Lopez,AB,BA
12,Rodrigo Batista Raposo,AB,DF
13,Dyorgines Jose Padovani de Andrade,AB,ES
14,Fábio Augusto Santos Sá Junior,AB,SE
15,Edina Alves Batista,FIFA,SP
16,Dewson Fernando Freitas da Silva,MTR,PA
17,Antonio Dib Moraes de Sousa,AB,PI
18,Ivan da Silva Guimarães Junior,AB,AM
19,Alexandre Vargas Tavares de Jesus,AB,RJ
20,Andre Luiz de Freitas Castro,MTR,GO
21,Rodolpho Toski Marques,FIFA,PR
22,Vinicius Gonçalves Dias Araujo,AB,SP
23,Emerson Ricardo de Almeida Andrade,AB,BA
24,Zandick Gondim Alves Junior,AB,RN
25,Rafael Martins de Sá,AB,RJ
26,Flavio Rodrigues de Souza,FIFA,SP
27,Rafael Traci,MTR,SC
28,Douglas Schwengber da Silva,AB,RS
29,Matheus Delgado Candançan,CD,SP
30,Jean Pierre Goncalves Lima,AB,RS
31,Caio Max Augusto Vieira,AB,RN
32,Wagner do Nascimento Magalhaes,FIFA,RJ
33,Felipe Fernandes de Lima,AB,MG
34,Luiz Flavio de Oliveira,FIFA,SP
35,Heber Roberto Lopes,MTR,SC
36,Marielson Alves Silva,AB,BA
37,Douglas Marques das Flores,AB,SP
38,Paulo Henrique de Melo Salmazio,AB,MS
39,Savio Pereira Sampaio,FIFA,DF
40,Raphael Claus,FIFA,SP
41,Luiz Augusto Silveira Tisne,AB,SC
42,Diego da Costa Cidral,AB,SC
43,Felipe da Silva Gonçalves Paludo,AB,RJ
44,Wilton Pereira Sampaio,FIFA,GO
45,Rafael Rodrigo Klein,AB,RS
46,Maguielson Lima Barbosa,AB,DF
47,Braulio da Silva Machado,FIFA,SC
48,Leonardo Willers Lorenzatto,AB,MT
49,Anderson Daronco,FIFA,RS
50,Bruno Arleu de Araujo,FIFA,RJ
51,Vinicius Gomes do Amaral,AB,MG
52,José Mendonça da Silva Junior,AB,PR
53,Leonilson Fernandes Trigueiro Filho,AB,RN
54,Jose Mendonca da Silva Junior,AB,PR
55,Vinicius Goncalves Dias Araujo,AB,SP
56,Leo Simão Holanda,AB,CE
57,Roger Goulart,AB,RS
58,Joao Vitor Gobi,CD,SP
59,Felipe da Silva Goncalves Paludo,AB,RJ
