id,nome,campeonatoId,arbitroId,rodada,data,horario,horarioInt,horas,periodo,estadio,casa,visitante,numAmarelos,numVermelhos
0,1 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,0,0,1,09/04/2022,16:30,990,16,Tarde,Moisés Lucarelli / Campinas,0,1,6,0
1,2 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,0,1,1,04/05/2022,21:00,1260,21,Noite,Rei Pelé / Maceio,2,3,4,0
2,3 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,0,2,1,09/04/2022,18:30,1110,18,Noite,Adelmar da Costa Carvalho / Recife,4,5,6,0
3,4 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,0,3,1,08/04/2022,19:00,1140,19,Noite,Aderbal Ramos da Silva / Florianopolis,6,7,9,0
4,5 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,0,4,1,04/05/2022,19:00,1140,19,Noite,Dr. Jorge Ismael de Biasi / Novo Horizonte,8,9,9,0
5,6 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,0,5,1,10/04/2022,11:00,660,11,Manha,Jacy Scaff / Londrina,10,11,5,0
6,7 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,0,6,1,08/04/2022,19:00,1140,19,Noite,São Januário / Rio de Janeiro,12,13,4,0
7,8 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,0,7,1,08/04/2022,21:30,1290,21,Noite,Octávio Mangabeira / Salvador,14,15,4,1
8,9 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,0,8,1,09/04/2022,21:00,1260,21,Noite,Soares de Azevedo / Muriae,16,17,5,0
9,10 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,0,9,1,09/04/2022,16:00,960,16,Tarde,Índio Condá / Chapeco,18,19,4,0
10,11 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,0,10,2,16/04/2022,18:30,1110,18,Noite,Brinco de Ouro da Princesa / Campinas,7,4,5,0
11,12 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,0,11,2,16/04/2022,19:00,1140,19,Noite,Rei Pelé / Maceio,9,12,4,0
12,13 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,0,12,2,15/04/2022,21:30,1290,21,Noite,Eládio de Barros Carvalho / Recife,11,14,7,2
13,14 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,0,13,2,14/04/2022,20:00,1200,20,Noite,Heriberto Hulse / Criciuma,3,10,3,0
