id,nome,cbf
169,Rever Humberto Alves de Araujo,4
170,Everson Felipe Marques Pires,22
171,Alex Paulo Menezes Santana,80
172,Leonardo Matias Baiersdorf Linck,23
173,Paulo Cesar Turra,TC
174,Agustin Canobbio Graviz,14
175,Alex Paulo Menezes Santana -,80
176,Alan Patrick Lourenço,10
177,Gabriel Ivan Mercado,25
178,Carlos Maria de Pena Bonino,14
179,Alexandre Zurawski,35
180,Magno Jose da Silva,2
181,Magno Jose da Silva -,2
182,Michel Daryl Araujo Villar,15
183,Gabriel Vasconcelos Ferreira,1
184,Kaio Cesar Andrade Lima,37
185,Benjamin Kuscevic Jaramillo,13
186,Bruno Gomes da Silva Clevelario,6
187,Gabriel Cordeiro Pirani,20
188,John Kennedy Batista de Souza,9
189,Marcos da Silva Franca,11
190,Walter Kannemann,4
191,Lucas Eduardo Muller,45
192,Bruno Fabiano Alves,34
193,Diogo Barbosa Mendanha,6
194,Joao Paulo de Souza Mares,39
195,Honorato Jose Santos Correia de Souza,AT
196,Ronald dos Santos Lopes,8
197,Itaro Patric Cardoso Calmon,94
198,Deyverson Brum Silva,16
199,Raniele Almeida Melo,14
200,Itaro Patric Cardoso Calmon -,94
201,John Kennedy Batista de Souza,9
202,André Trindade da Costa Neto,7
203,Felipe Melo de Carvalho,30
204,Fernando Diniz Silva,TC
205,Leonardo Cesar Jardim,1
206,Lucas Figueiredo dos Santos,15
207,Eguinaldo de Sousa Lemos,21
208,Paolo Mauricio Lemos Merladett,28
209,Rubens Antonio Dias,44
210,Rodrigo Andrés Battaglia,21
211,Lucas Fernandes da Silva,18
212,Gabriel Neves Perdomo,20
213,Wellington Soares da Silva,27
214,Marcio Rafael Ferreira de Souza,13
215,Mauricio Magalhaes Prado,27
216,Gabriel Ivan Mercado,25
217,Rodrigo Modesto da Silva Moledo,4
218,Lucca Holanda Sampaio Tavares,45
219,Fausto Mariano Vera,5
220,Murillo Santiago Costa dos Santos,34
221,Bruno de Jesus Pacheco,6
222,Silvio Ezequiel Romero,18
223,Joaquin Piquerez Moreira,22
224,Mayke Rocha de Oliveira,12
225,Jose Rafael Vivian,8
226,Gustavo Raul Gomez Portillo,15
227,Endrick Felipe Moreira de Sousa,9
228,Raphael Cavalcante Veiga,23
229,Bruno Ferreira Melo,19
230,Jackson Diego Ibraim Fagundes,20
231,Lucas Halter -,3
232,Gabriel de Souza Inocencio,12
233,Rodrigo Fernandez Cedres,14
234,Lucas Rafael Araujo Lima,23
235,Matheus Isaias dos Santos,18
236,Ramiro Moschen Benetti,17
237,Lucas da Cruz Oliveira,6
238,Richard Candido Coelho,25
239,Jose Henrique da Silva Dourado,99
240,William de Asevedo Furtado,12
241,Vitor Hugo Naum dos Santos,28
242,Matheus Fernandes Siqueira,35
243,Everton Galdino Moreira,13
244,Vinicius Goes Barbosa de Souza,11
245,Gustavo Martins de Souza Santos,53
246,Nathan Allan de Souza,7
247,Bruno Uvini Bortolanca,15
248,Erick Antonio Pulgar Farfan,5
249,Gabriel Barbosa Almeida,10
250,Erick Luis Conrado Carvalho,26
251,Fernando Luiz Roza,5
252,Gabriel Boschilia,35
253,Bruno Viana Willemen da Silva,5
254,Victor Luis Chuab Zamblauskas,26
255,Leonardo de Magalhaes Gondim Galbes,AT
256,Henrique Adriano Buss,3
257,Willian Roberto de Farias,8
258,Jamerson Santos de Jesus,83
259,Matheus Henrique Bianqui,17
260,Gabriel Teixeira Aragao,11
261,Francisco Vitor Silva Costa,29
262,Alan Pereira Empereur,33
263,Ronald dos Santos Lopes,8
264,Mateus da Silva Duarte,98
265,Pablo Daniel Ceppelini Gatto,10
266,Marlon Matheus Lopes do Nascimento,6
267,Alexandre Egea,16
268,Mateus Goncalves Martins,27
269,MGSilvio Junio Nunes da Silva,
270,Matheus Fernando Cavichioli -,1
271,Vinicius Santos Silva,7
272,Leandro Campos Borges,AT
273,Carlos Gilberto do Nascimento Silva,4
274,Fabio Santos Romeu,6
275,Victor Leandro Cuesta,15
276,Jose Rafael Vivian,8
277,Joaquin Piquerez Moreira,22
278,Gabriel Hamester Grando,12
279,Bruno Uvini Bortolanca,15
280,Walter Kannemann,4
281,Mathias Adalberto Villasanti Rolon,20
282,Lucas Rafael Araujo Lima,23
283,Deivid Washington de Souza Eugenio,36
284,Lucas Braga Ribeiro,30
285,Jhoanner Stalin Chavez Quintero,6
286,Neuciano de Jesus Gusmao,40
287,Victor Hugo Soares dos Santos,4
288,Nicolas Brian Acevedo Tabarez,26
289,Thiago Nicolas Borbas Silva,18
290,Eduardo Colcenti Antunes,19
291,Jadsom Meemyas de Oliveira da Silva,5
292,Vitor Hugo Naum dos Santos,28
293,Eduardo Gonzaga Mendes Santos,26
294,Everaldo Silva do Nascimento,37
295,Eder Ferreira Graminho,33
296,Marcio Almeida de Oliveira,25
297,Marcelo Vieira da Silva Junior,12
298,Thiago dos Santos,29
299,Manoel Messias Silva Carvalho,26
300,André Trindade da Costa Neto,7
301,Eduardo Maciel de Barros,AT
302,Fabio Deivson Lopes Maciel,1
303,Fernando Diniz Silva,TC
