id,nome,campeonatoId,arbitroId,rodada,data,horario,horarioInt,horas,periodo,estadio,casa,visitante,numAmarelos,numVermelhos
0,1 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,0,0,1,16/04/2023,16:00,960,16,Tarde,Jornalista Mário Filho / Rio de Janeiro,0,1,6,0
1,2 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,0,1,1,15/04/2023,18:30,1110,18,Noite,Nilton Santos / Rio de Janeiro,2,3,5,0
2,3 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,0,2,1,15/04/2023,16:00,960,16,Tarde,Allianz Parque / Sao Paulo,4,5,8,2
3,4 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,0,3,1,16/04/2023,16:00,960,16,Tarde,Arena Corinthians / Sao Paulo,6,7,6,0
4,5 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,0,4,1,15/04/2023,18:30,1110,18,Noite,Nabi Abi Chedid / Braganca Paulista,8,9,4,0
5,6 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,0,5,1,15/04/2023,21:00,1260,21,Noite,Magalhães Pinto / Belo Horizonte,10,11,11,1
6,7 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,0,6,1,16/04/2023,18:30,1110,18,Noite,Alfredo Jaconi / Caxias do Sul,12,13,6,1
7,8 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,0,7,1,15/04/2023,18:30,1110,18,Noite,Joaquim Américo Guimarães / Curitiba,14,15,6,0
8,9 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,0,8,1,15/04/2023,18:30,1110,18,Noite,Governador Plácido Aderaldo Castelo / Fortaleza,16,17,4,0
9,10 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,0,9,1,15/04/2023,16:00,960,16,Tarde,Raimundo Sampaio / Belo Horizonte,18,19,7,0
10,11 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,0,2,2,22/04/2023,16:00,960,16,Tarde,Jornalista Mário Filho / Rio de Janeiro,19,14,6,0
11,12 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,0,7,2,23/04/2023,16:00,960,16,Tarde,Jornalista Mário Filho / Rio de Janeiro,11,4,7,0
12,13 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,0,10,2,22/04/2023,18:30,1110,18,Noite,Cícero Pompeu de Toledo / Sao Paulo,3,18,9,0
13,14 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,0,9,2,23/04/2023,16:00,960,16,Tarde,Urbano Caldeira / Santos,13,10,6,0
14,15 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,0,11,2,23/04/2023,19:00,1140,19,Noite,Hailé Pinheiro / Goiania,15,6,7,0
15,16 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,0,12,2,22/04/2023,21:00,1260,21,Noite,Raimundo Sampaio / Belo Horizonte,7,12,7,1
16,17 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,0,1,2,23/04/2023,11:00,660,11,Manha,José Pinheiro Borda / Porto Alegre,17,0,4,0
17,18 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,0,6,2,23/04/2023,18:30,1110,18,Noite,Major Antônio Couto Pereira / Curitiba,1,16,3,0
18,19 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,0,5,2,24/04/2023,20:00,1200,20,Noite,Octávio Mangabeira / Salvador,9,2,3,0
19,20 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,0,13,2,22/04/2023,18:30,1110,18,Noite,Arena Pantanal / Cuiaba,5,8,6,0
20,21 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,0,8,3,30/04/2023,16:00,960,16,Tarde,Jornalista Mário Filho / Rio de Janeiro,0,2,8,2
21,22 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,0,12,3,01/05/2023,20:00,1200,20,Noite,São Januário / Rio de Janeiro,11,9,6,0
22,23 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,0,6,3,29/04/2023,18:30,1110,18,Noite,Allianz Parque / Sao Paulo,4,6,8,0
23,24 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,0,3,3,29/04/2023,18:30,1110,18,Noite,Urbano Caldeira / Santos,13,18,8,1
24,25 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,0,9,3,29/04/2023,18:30,1110,18,Noite,Nabi Abi Chedid / Braganca Paulista,8,7,7,2
25,26 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,0,1,3,29/04/2023,21:00,1260,21,Noite,Raimundo Sampaio / Belo Horizonte,10,14,7,1
26,27 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,0,0,3,30/04/2023,18:30,1110,18,Noite,José Pinheiro Borda / Porto Alegre,17,15,5,1
27,28 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,0,7,3,29/04/2023,16:30,990,16,Tarde,Major Antônio Couto Pereira / Curitiba,1,3,5,0
28,29 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,0,5,3,29/04/2023,16:30,990,16,Tarde,Governador Plácido Aderaldo Castelo / Fortaleza,16,19,3,0
29,30 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,0,11,3,30/04/2023,18:30,1110,18,Noite,Arena Pantanal / Cuiaba,5,12,10,1
30,31 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,0,6,4,06/05/2023,21:00,1260,21,Noite,Jornalista Mário Filho / Rio de Janeiro,19,11,7,0
31,32 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,0,12,4,07/05/2023,18:30,1110,18,Noite,Nilton Santos / Rio de Janeiro,2,10,4,0
32,33 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,0,9,4,07/05/2023,16:00,960,16,Tarde,Cícero Pompeu de Toledo / Sao Paulo,3,17,7,0
33,34 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,0,1,4,08/05/2023,20:00,1200,20,Noite,Arena Corinthians / Sao Paulo,6,16,4,0
34,35 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,0,10,4,07/05/2023,18:30,1110,18,Noite,Hailé Pinheiro / Goiania,15,4,8,1
35,36 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,0,11,4,06/05/2023,16:00,960,16,Tarde,Raimundo Sampaio / Belo Horizonte,7,13,9,0
36,37 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,0,2,4,07/05/2023,18:30,1110,18,Noite,Arena do Grêmio / Porto Alegre,12,8,7,0
37,38 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,0,5,4,07/05/2023,16:00,960,16,Tarde,Joaquim Américo Guimarães / Curitiba,14,0,4,0
38,39 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,0,14,4,07/05/2023,16:00,960,16,Tarde,Octávio Mangabeira / Salvador,9,1,10,0
39,40 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,0,15,4,07/05/2023,11:00,660,11,Manha,Raimundo Sampaio / Belo Horizonte,18,5,8,1
40,41 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,0,16,5,10/05/2023,20:00,1200,20,Noite,Jornalista Mário Filho / Rio de Janeiro,0,15,2,0
41,42 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,0,3,5,11/05/2023,19:30,1170,19,Noite,Nilton Santos / Rio de Janeiro,2,6,3,0
42,43 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,0,9,5,10/05/2023,21:30,1290,21,Noite,Allianz Parque / Sao Paulo,4,12,6,0
43,44 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,0,10,5,10/05/2023,19:00,1140,19,Noite,Urbano Caldeira / Santos,13,9,7,0
44,45 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,0,7,5,10/05/2023,19:00,1140,19,Noite,Nabi Abi Chedid / Braganca Paulista,8,18,8,0
45,46 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,0,12,5,10/05/2023,21:30,1290,21,Noite,Magalhães Pinto / Belo Horizonte,7,19,9,1
46,47 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,0,11,5,10/05/2023,19:00,1140,19,Noite,José Pinheiro Borda / Porto Alegre,17,14,6,0
47,48 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,0,1,5,11/05/2023,19:00,1140,19,Noite,Major Antônio Couto Pereira / Curitiba,1,11,3,0
48,49 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,0,2,5,11/05/2023,20:00,1200,20,Noite,Governador Plácido Aderaldo Castelo / Fortaleza,16,3,6,2
49,50 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,0,6,5,10/05/2023,20:00,1200,20,Noite,Arena Pantanal / Cuiaba,5,10,3,0
50,51 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,0,8,6,13/05/2023,18:30,1110,18,Noite,Jornalista Mário Filho / Rio de Janeiro,19,5,7,0
51,52 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,0,0,6,14/05/2023,16:00,960,16,Tarde,São Januário / Rio de Janeiro,11,13,6,0
52,53 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,0,16,6,13/05/2023,18:30,1110,18,Noite,Allianz Parque / Sao Paulo,4,8,7,0
53,54 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,0,11,6,14/05/2023,16:00,960,16,Tarde,Arena Corinthians / Sao Paulo,6,3,6,1
54,55 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,0,7,6,14/05/2023,18:30,1110,18,Noite,Hailé Pinheiro / Goiania,15,2,9,0
55,56 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,0,5,6,13/05/2023,21:00,1260,21,Noite,Magalhães Pinto / Belo Horizonte,10,17,5,0
56,57 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,0,14,6,14/05/2023,16:00,960,16,Tarde,Arena do Grêmio / Porto Alegre,12,16,8,0
57,58 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,0,12,6,14/05/2023,18:30,1110,18,Noite,Joaquim Américo Guimarães / Curitiba,14,1,6,0
58,59 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,0,2,6,13/05/2023,16:00,960,16,Tarde,Octávio Mangabeira / Salvador,9,0,11,2
59,60 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,0,6,6,14/05/2023,18:30,1110,18,Noite,Raimundo Sampaio / Belo Horizonte,18,7,2,0
60,61 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,0,7,7,21/05/2023,16:00,960,16,Tarde,Jornalista Mário Filho / Rio de Janeiro,0,6,3,0
61,62 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,0,9,7,20/05/2023,18:30,1110,18,Noite,Nilton Santos / Rio de Janeiro,2,19,7,0
62,63 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,0,17,7,20/05/2023,18:30,1110,18,Noite,Cícero Pompeu de Toledo / Sao Paulo,3,11,4,0
63,64 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,0,5,7,20/05/2023,21:00,1260,21,Noite,Urbano Caldeira / Santos,13,4,4,0
64,65 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,0,18,7,20/05/2023,18:30,1110,18,Noite,Nabi Abi Chedid / Braganca Paulista,8,14,6,0
65,66 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,0,16,7,22/05/2023,20:00,1200,20,Noite,Joaquim Henrique Nogueira / Sete Lagoas,7,5,4,0
66,67 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,0,12,7,21/05/2023,18:30,1110,18,Noite,Arena do Grêmio / Porto Alegre,12,17,2,1
67,68 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,0,0,7,20/05/2023,18:30,1110,18,Noite,Major Antônio Couto Pereira / Curitiba,1,10,11,2
68,69 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,0,15,7,20/05/2023,16:00,960,16,Tarde,Octávio Mangabeira / Salvador,9,15,6,0
69,70 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,0,19,7,20/05/2023,18:30,1110,18,Noite,Raimundo Sampaio / Belo Horizonte,18,16,6,0
70,71 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,0,19,8,27/05/2023,18:30,1110,18,Noite,Jornalista Mário Filho / Rio de Janeiro,0,7,9,0
71,72 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,0,5,8,28/05/2023,19:00,1140,19,Noite,Nilton Santos / Rio de Janeiro,2,18,5,0
72,73 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,0,7,8,27/05/2023,21:00,1260,21,Noite,Cícero Pompeu de Toledo / Sao Paulo,3,15,7,0
73,74 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,0,17,8,28/05/2023,16:00,960,16,Tarde,Arena Corinthians / Sao Paulo,6,19,6,0
74,75 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,0,3,8,28/05/2023,18:30,1110,18,Noite,Nabi Abi Chedid / Braganca Paulista,8,13,3,0
75,76 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,0,9,8,28/05/2023,18:30,1110,18,Noite,Magalhães Pinto / Belo Horizonte,10,4,8,0
76,77 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,0,10,8,28/05/2023,16:00,960,16,Tarde,José Pinheiro Borda / Porto Alegre,17,9,3,0
77,78 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,0,16,8,27/05/2023,16:00,960,16,Tarde,Joaquim Américo Guimarães / Curitiba,14,12,6,0
78,79 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,0,8,8,27/05/2023,16:00,960,16,Tarde,Governador Plácido Aderaldo Castelo / Fortaleza,16,11,4,0
79,80 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,0,15,8,27/05/2023,18:30,1110,18,Noite,Arena Pantanal / Cuiaba,5,1,9,0
80,81 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,0,0,9,04/06/2023,16:00,960,16,Tarde,Jornalista Mário Filho / Rio de Janeiro,19,8,7,0
81,82 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,0,9,9,05/06/2023,20:00,1200,20,Noite,Jornalista Mário Filho / Rio de Janeiro,11,0,2,0
82,83 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,0,18,9,04/06/2023,18:30,1110,18,Noite,Allianz Parque / Sao Paulo,4,1,9,0
83,84 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,0,2,9,03/06/2023,21:00,1260,21,Noite,Urbano Caldeira / Santos,13,17,6,0
84,85 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,0,20,9,04/06/2023,18:30,1110,18,Noite,Hailé Pinheiro / Goiania,15,5,5,0
85,86 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,0,16,9,03/06/2023,18:30,1110,18,Noite,Parque do Sabiá / Uberlandia,7,10,12,0
86,87 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,0,6,9,04/06/2023,16:00,960,16,Tarde,Arena do Grêmio / Porto Alegre,12,3,3,0
87,88 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,0,21,9,03/06/2023,18:30,1110,18,Noite,Joaquim Américo Guimarães / Curitiba,14,2,4,0
88,89 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,0,22,9,03/06/2023,16:00,960,16,Tarde,Governador Plácido Aderaldo Castelo / Fortaleza,16,9,5,0
