id,nome,credencial,estado
0,Rodrigo Jose Pereira de Lima,AB,PE
1,Ramon Abatti Abel,FIFA,SC
2,Paulo Cesar Zanovelli da Silva,FIFA,MG
3,Anderson Daronco,FIFA,RS
4,Maguielson Lima Barbosa,AB,DF
5,Raphael Claus,FIFA,SP
6,Wilton Pereira Sampaio,FIFA,GO
7,Rafael Rodrigo Klein,AB,RS
8,Edina Alves Batista,FIFA,SP
9,Braulio da Silva Machado,FIFA,SC
10,Wagner do Nascimento Magalhaes,FIFA,RJ
11,Bruno Arleu de Araujo,FIFA,RJ
12,Flavio Rodrigues de Souza,FIFA,SP
13,Caio Max Augusto Vieira,AB,RN
14,Bruno Mota Correia,BAS,RJ
15,Denis da Silva Ribeiro Serafim,AB,AL
16,Savio Pereira Sampaio,FIFA,DF
17,Leandro Pedro Vuaden,MTR,RS
18,Felipe Fernandes de Lima,AB,MG
19,Luiz Flavio de Oliveira,MTR,SP
20,Marcelo de Lima Henrique,MTR,CE
21,Vinicius Goncalves Dias Araujo,AB,SP
22,Joao Vitor Gobi,CD,SP
23,Andre Luiz Skettino Policarpo Bento,AB,MG
24,Jean Pierre Goncalves Lima,AB,RS
25,Yuri Elino Ferreira da Cruz,AB,RJ
26,Matheus Delgado Candançan,CD,SP
27,Arthur Gomes Rabelo,AB,ES
28,Dyorgines Jose Padovani de Andrade,AB,ES
29,Davi de Oliveira Lacerda,CD,ES
30,Jonathan Benkenstein Pinheiro,CD,RS
31,Paulo Belence Alves dos Prazeres Filho,CD,PE
