id,partidaId,timeId,jogadorId,tempo,minuto,minutoGeral,jogador,time,horarioInt,horarioString
102,328,9,1975,1,19:00,19,Camilo Damian Candido Aquino -,Bahia,1219,20:19
103,330,0,1982,2,50:00,95,Gabriel Barbosa Almeida -,Flamengo,1220,20:20
104,330,19,1983,2,50:00,95,Marcilio Florencio Mota Filho -,Fluminense,1220,20:20
105,335,10,1997,2,9:00,54,Igor Rabello da Costa -,Atlético Mineiro,1179,19:39
106,336,12,2007,2,35:00,80,Bruno Fabiano Alves -,Grêmio,1055,17:35
107,336,6,2008,1,7:00,7,Bruno Mendez Cittadini -,Corinthians,967,16:07
108,348,4,2077,2,14:00,59,Gustavo Raul Gomez Portillo -,Palmeiras,1184,19:44
109,348,4,2078,2,25:00,70,Joao Miguel Barreto Martins -,Palmeiras,1195,19:55
110,354,8,2112,2,32:00,77,Alerrandro Barra Mansa Realino de Souza -,Red Bull Bragantino,1322,22:02
111,354,8,2113,2,28:00,73,Eric dos Santos Rodrigues -,Red Bull Bragantino,1318,21:58
112,357,2,2131,1,30:00,30,Carlos Eduardo de Oliveira Alves -,Botafogo,1320,22:00
113,357,20,2132,1,48:00,48,Jamerson Santos de Jesus -,Coritiba S.a.f.,1338,22:18
114,362,19,2159,2,9:00,54,Lucas da Silva Justen -,Fluminense,1029,17:09
115,363,6,2164,2,49:00,94,Lucas Verissimo da Silva -,Corinthians,1189,19:49
116,369,27,2196,2,16:00,61,Mateus Henrique Alves Silva -,América Saf,1186,19:46
117,371,8,2207,2,27:00,72,Leonardo Javier Realpe Montaño -,Red Bull Bragantino,1377,22:57
118,378,9,2231,2,13:00,58,Leandro Del Giudice Macagnan -,Bahia,1363,22:43
119,379,5,2239,2,51:00,96,Clayson Henrique da Silva Vieira -,Cuiabá Saf,1401,23:21
