id,nome,cbf
0,Jose Gabriel Campanelli da Rocha Cabo,AT
1,Leandro Alves de Carvalho,10
2,Ronald Sant Anna Rodrigues,31
3,Ricardo Dias Acosta,8
4,Deivid Willian da Silva,11
5,Kelvin Mateus de Oliveira,20
6,Wagner Augusto Lopes,TC
7,Deivid Willian da Silva -,11
8,Gabriel Bispo dos Santos,5
9,Thales Natanael Lira de Matos,3
10,Regis Augusto Salmazzo,78
11,Pedro Henrique Azevedo Pereira -,6
12,Lucas Cavalcante Silva Afonso,3
13,Marco Tulio Oliveira Lemos,21
14,Patrick de Carvalho Brey,26
15,Alisson Pelegrini Safira,7
16,Felipe Vieira Augusto,6
17,Ricardo Luz Araujo,16
18,Roberto Teixeira da Fonseca,TC
19,Augusto de Souza Silva,13
20,Roberto Teixeira da Fonseca Junior,AT
21,Bruno Matias dos Santos,8
22,Ramon Machado de Macedo,19
23,Felipe Vieira Augusto -,6
24,Jefferson Victor Machado Ambrosio,7
25,Lucas Santos Siqueira,8
26,Marlon Farias Castelo Branco,6
27,Guilherme Kennedy Romao,6
28,Marthã Fernando Goncalves Pimenta,17
29,Diego Fabian Torres,10
30,Natanael Moreira Milouski,16
31,Leonardo Gamalho de Souza,9
32,Valdemir de Oliveira Soares,97
33,Iury de Oliveira Nascimento,22
34,Luan da Silva Pereira,38
35,Gledson Ribeiro dos Santos,83
36,Alex Ruan Vasconcelos Ferreira,66
37,PFJuvenilson Poyer Nogueira Souza -,
38,Adriano Firmino dos Santos da Silva,15
39,Fabio Deivson Lopes Maciel,1
40,TGAndre Croda Borges,
41,Cristiano Pereira de Oliveira,19
42,Nery Ruben Bareiro Zorrilla,3
43,Sergio Antonio Borges Junior,8
44,Willians dos Santos Santana,9
45,Flavio Matheus Garcia da Silva,AT
46,Fabio Deivson Lopes Maciel -,1
47,Adriano Firmino dos Santos da Silva -,15
48,Elvis Vieira Araujo,10
49,Jackson Diego Ibraim Fagundes,7
50,Jandir Breno Souza Silva,17
51,Chayene Medeiros Oliveira Santos,14
52,Paulo Victor de Almeida Barbosa,6
53,Natanael Moreira Milouski,16
54,Nathan Otavio Ribeiro,32
55,Hugo Ferreira de Farias,6
56,Luis Carlos de Oliveira Preto,TC
57,Reynaldo Cesar Moraes,4
58,Adailson Freire Pereira da Silva,17
59,MGEraldo Feitosa Filho,
60,Nery Ruben Bareiro Zorrilla,3
61,Victor Sallinas Ribeiro,4
62,Sosthenes Jose Santos Salles,7
63,Bruno Araujo Sena,17
64,Leonardo de Matos Cruz,3
65,Nilton Soares Rodrigues,7
66,Rafael Lucas Cardoso dos Santos,6
67,Ruan Renato Bonifacio Augusto,4
68,Jadson Alves dos Santos,88
69,Ramon Menezes Roma,4
70,Claudinei Junio de Souza,17
71,Diogo Jose Goncalves da Silva,12
72,Marthã Fernando Goncalves Pimenta,5
73,Ewandro Felipe de Lima Costa,7
74,Douglas Santos da Silva,7
75,Talison Ruan da Silva,2
76,Roberto Teixeira da Fonseca Junior,AT
77,Diego Mathias de Almeida,87
78,Jose Mateus Junior,8
79,Jefferson da Silva Paulino,1
80,Iury Lirio Freitas de Castilho,17
81,Guilherme Augusto Alves Dellatorre,9
82,Jose Mario de Bona,6
83,Watson Rennio Pires dos Santos Silva,2
84,Matheus Lima Beltrao Oliveira,20
85,Thales Natanael Lira de Matos,3
86,Lucas Vinicius Goncalves Silva,99
87,Regis Augusto Salmazzo,78
88,Rafael Martins Claro dos Santos -,1
89,Alex da Silva -,2
90,Bruno Cesar Pereira Silva,8
