id,nome,campeonatoId,arbitroId,rodada,data,horario,horarioInt,horas,periodo,estadio,casa,visitante,numAmarelos,numVermelhos
0,1 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,0,0,1,29/05/2021,11:00,660,11,Manha,São Januário / Rio de Janeiro,0,1,2,0
1,2 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,0,1,1,28/05/2021,21:30,1290,21,Noite,Onésio Brasileiro Alvarenga / Goiania,2,3,5,1
2,3 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,0,2,1,28/05/2021,19:00,1140,19,Noite,Brinco de Ouro da Princesa / Campinas,4,5,3,1
3,4 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,0,3,1,28/05/2021,21:30,1290,21,Noite,Eládio de Barros Carvalho / Recife,6,7,3,0
4,5 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,0,4,1,28/05/2021,16:00,960,16,Tarde,Bento da Silva Freitas / Pelotas,8,9,8,1
5,6 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,0,5,1,29/05/2021,16:00,960,16,Tarde,Rei Pelé / Maceio,10,11,6,0
6,7 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,0,6,1,29/05/2021,18:15,1095,18,Noite,Major Antônio Couto Pereira / Curitiba,12,13,6,0
7,8 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,0,7,1,30/05/2021,11:00,660,11,Manha,Augusto Bauer / Brusque,14,15,1,1
8,9 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,0,8,1,29/05/2021,16:30,990,16,Tarde,Lourival Baptista / Aracaju,16,17,8,2
9,10 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,0,9,1,31/05/2021,20:00,1200,20,Noite,Governador João Castelo / Sao Luis,18,19,3,0
10,11 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,0,10,2,05/06/2021,21:00,1260,21,Noite,Nilton Santos / Rio de Janeiro,3,12,4,0
11,12 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,0,11,2,04/06/2021,17:30,1050,17,Tarde,Hailé Pinheiro / Goiania,19,16,9,0
12,13 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,0,12,2,06/06/2021,16:00,960,16,Tarde,Moisés Lucarelli / Campinas,15,0,4,0
13,14 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,0,13,2,06/06/2021,18:15,1095,18,Noite,Magalhães Pinto / Belo Horizonte,17,10,6,0
14,15 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,0,14,2,05/06/2021,11:00,660,11,Manha,Jacy Scaff / Londrina,9,14,6,0
