id,partidaId,timeId,jogadorId,tempo,minuto,minutoGeral,jogador,time,horarioInt,horarioString
0,0,0,0,2,19:00,64,Jose Gabriel Campanelli da Rocha Cabo,Vasco da Gama,739,12:19
1,0,1,1,2,09:00,54,Leandro Alves de Carvalho,Operário,729,12:09
2,1,3,2,1,04:00,4,Ronald Sant Anna Rodrigues,Botafogo,1294,21:34
3,1,3,3,1,38:00,38,Ricardo Dias Acosta,Botafogo,1328,22:08
4,1,2,4,1,34:00,34,Deivid Willian da Silva,Vila Nova,1324,22:04
5,1,2,5,2,37:00,82,Kelvin Mateus de Oliveira,Vila Nova,1387,23:07
6,1,2,6,1,44:00,44,Wagner Augusto Lopes,Vila Nova,1334,22:14
7,2,5,8,1,22:00,22,Gabriel Bispo dos Santos,Vitória,1162,19:22
8,2,4,9,2,17:00,62,Thales Natanael Lira de Matos,Guarani,1217,20:17
9,2,4,10,2,31:00,76,Regis Augusto Salmazzo,Guarani,1231,20:31
10,3,7,12,2,05:00,50,Lucas Cavalcante Silva Afonso,Csa,1355,22:35
11,3,7,13,2,39:00,84,Marco Tulio Oliveira Lemos,Csa,1389,23:09
12,3,7,14,2,48:00,93,Patrick de Carvalho Brey,Csa,1398,23:18
13,4,9,15,2,21:00,66,Alisson Pelegrini Safira,Londrina,1041,17:21
14,4,9,16,1,24:00,24,Felipe Vieira Augusto,Londrina,984,16:24
15,4,9,17,2,24:00,69,Ricardo Luz Araujo,Londrina,1044,17:24
16,4,9,18,1,40:00,40,Roberto Teixeira da Fonseca,Londrina,1000,16:40
17,4,9,19,2,50:00,95,Augusto de Souza Silva,Londrina,1070,17:50
18,4,9,20,1,45:00,45,Roberto Teixeira da Fonseca Junior,Londrina,1005,16:45
19,4,8,21,1,43:00,43,Bruno Matias dos Santos,Brasil,1003,16:43
20,4,8,22,2,45:00,90,Ramon Machado de Macedo,Brasil,1065,17:45
21,5,11,24,2,17:00,62,Jefferson Victor Machado Ambrosio,Remo,1037,17:17
22,5,11,25,1,33:00,33,Lucas Santos Siqueira,Remo,993,16:33
23,5,11,26,2,46:00,91,Marlon Farias Castelo Branco,Remo,1066,17:46
24,5,10,27,2,22:00,67,Guilherme Kennedy Romao,Crb,1042,17:22
25,5,10,28,2,44:00,89,Marthã Fernando Goncalves Pimenta,Crb,1064,17:44
26,5,10,29,1,45:00,45,Diego Fabian Torres,Crb,1005,16:45
27,6,12,30,2,19:00,64,Natanael Moreira Milouski,Coritiba,1174,19:34
28,6,12,31,2,35:00,80,Leonardo Gamalho de Souza,Coritiba,1190,19:50
29,6,12,32,2,38:00,83,Valdemir de Oliveira Soares,Coritiba,1193,19:53
30,6,13,33,1,22:00,22,Iury de Oliveira Nascimento,Avaí,1117,18:37
31,6,13,34,2,24:00,69,Luan da Silva Pereira,Avaí,1179,19:39
32,6,13,35,2,35:00,80,Gledson Ribeiro dos Santos,Avaí,1190,19:50
33,7,14,36,2,17:00,62,Alex Ruan Vasconcelos Ferreira,Brusque,737,12:17
34,8,17,38,1,15:00,15,Adriano Firmino dos Santos da Silva,Cruzeiro,1005,16:45
35,8,17,39,1,31:00,31,Fabio Deivson Lopes Maciel,Cruzeiro,1021,17:01
36,8,17,40,1,41:00,41,TGAndre Croda Borges,Cruzeiro,1031,17:11
37,8,16,41,2,16:00,61,Cristiano Pereira de Oliveira,Confiança,1066,17:46
38,8,16,42,2,20:00,65,Nery Ruben Bareiro Zorrilla,Confiança,1070,17:50
39,8,16,43,2,22:00,67,Sergio Antonio Borges Junior,Confiança,1072,17:52
40,8,16,44,1,25:00,25,Willians dos Santos Santana,Confiança,1015,16:55
41,8,16,45,2,29:00,74,Flavio Matheus Garcia da Silva,Confiança,1079,17:59
42,9,19,48,2,07:00,52,Elvis Vieira Araujo,Goiás,1267,21:07
43,9,19,49,2,19:00,64,Jackson Diego Ibraim Fagundes,Goiás,1279,21:19
44,9,18,50,2,22:00,67,Jandir Breno Souza Silva,Sampaio Corrêa,1282,21:22
45,10,3,51,2,26:00,71,Chayene Medeiros Oliveira Santos,Botafogo,1346,22:26
46,10,3,52,2,39:00,84,Paulo Victor de Almeida Barbosa,Botafogo,1359,22:39
47,10,12,53,2,20:00,65,Natanael Moreira Milouski,Coritiba,1340,22:20
48,10,12,54,1,36:00,36,Nathan Otavio Ribeiro,Coritiba,1296,21:36
49,11,19,55,2,09:00,54,Hugo Ferreira de Farias,Goiás,1119,18:39
50,11,19,56,2,13:00,58,Luis Carlos de Oliveira Preto,Goiás,1123,18:43
51,11,19,57,2,41:00,86,Reynaldo Cesar Moraes,Goiás,1151,19:11
52,11,19,58,2,46:00,91,Adailson Freire Pereira da Silva,Goiás,1156,19:16
53,11,16,59,1,15:00,15,MGEraldo Feitosa Filho,Confiança,1065,17:45
54,11,16,60,2,25:00,70,Nery Ruben Bareiro Zorrilla,Confiança,1135,18:55
55,11,16,61,2,29:00,74,Victor Sallinas Ribeiro,Confiança,1139,18:59
56,11,16,62,1,38:00,38,Sosthenes Jose Santos Salles,Confiança,1088,18:08
57,11,16,63,2,41:00,86,Bruno Araujo Sena,Confiança,1151,19:11
58,12,0,64,1,15:00,15,Leonardo de Matos Cruz,Vasco da Gama,975,16:15
59,12,15,65,2,09:00,54,Nilton Soares Rodrigues,Ponte Preta,1029,17:09
60,12,15,66,1,33:00,33,Rafael Lucas Cardoso dos Santos,Ponte Preta,993,16:33
61,12,15,67,1,39:00,39,Ruan Renato Bonifacio Augusto,Ponte Preta,999,16:39
62,13,17,68,2,18:00,63,Jadson Alves dos Santos,Cruzeiro,1173,19:33
63,13,17,69,1,46:00,46,Ramon Menezes Roma,Cruzeiro,1141,19:01
64,13,10,70,2,24:00,69,Claudinei Junio de Souza,Crb,1179,19:39
65,13,10,71,2,25:00,70,Diogo Jose Goncalves da Silva,Crb,1180,19:40
66,13,10,72,2,43:00,88,Marthã Fernando Goncalves Pimenta,Crb,1198,19:58
67,13,10,73,1,44:00,44,Ewandro Felipe de Lima Costa,Crb,1139,18:59
68,14,9,74,1,34:00,34,Douglas Santos da Silva,Londrina,694,11:34
69,14,9,75,1,39:00,39,Talison Ruan da Silva,Londrina,699,11:39
70,14,9,76,1,46:00,46,Roberto Teixeira da Fonseca Junior,Londrina,706,11:46
71,14,14,77,2,02:00,47,Diego Mathias de Almeida,Brusque,722,12:02
72,14,14,78,2,18:00,63,Jose Mateus Junior,Brusque,738,12:18
73,14,14,79,2,46:00,91,Jefferson da Silva Paulino,Brusque,766,12:46
74,15,7,80,2,23:00,68,Iury Lirio Freitas de Castilho,Csa,1073,17:53
75,15,7,81,2,52:00,97,Guilherme Augusto Alves Dellatorre,Csa,1102,18:22
76,15,18,82,2,16:00,61,Jose Mario de Bona,Sampaio Corrêa,1066,17:46
77,15,18,83,1,44:00,44,Watson Rennio Pires dos Santos Silva,Sampaio Corrêa,1034,17:14
78,16,4,84,2,15:00,60,Matheus Lima Beltrao Oliveira,Guarani,1215,20:15
79,16,4,85,2,19:00,64,Thales Natanael Lira de Matos,Guarani,1219,20:19
80,16,4,86,1,38:00,38,Lucas Vinicius Goncalves Silva,Guarani,1178,19:38
81,16,4,87,1,39:00,39,Regis Augusto Salmazzo,Guarani,1179,19:39
82,17,13,90,2,30:00,75,Bruno Cesar Pereira Silva,Avaí,1320,22:00
83,17,13,91,2,33:00,78,Marcos Vinicius Serrato,Avaí,1323,22:03
84,17,13,92,2,41:00,86,Wanderson Ferreira de Oliveira,Avaí,1331,22:11
85,17,2,93,1,26:00,26,Renato Palm da Silveira,Vila Nova,1256,20:56
86,17,2,94,1,38:00,38,Walisson Moreira Farias Maia,Vila Nova,1268,21:08
87,18,5,95,2,33:00,78,Marcelo Alves Santos,Vitória,1293,21:33
88,18,6,96,1,08:00,8,Rhaldney Norberto Simião Gomes,Náutico,1208,20:08
89,18,6,97,2,09:00,54,Wagner Leonardo Calvelo de Souza,Náutico,1269,21:09
