id,partidaId,timeId,jogadorId,tempo,minuto,minutoGeral,jogador,time,horarioInt,horarioString
0,1,3,10,1,20:00,20,Reverson Valuarth Paiva Silva -,Novorizontino,980,16:20
1,1,3,11,2,49:00,94,MGAndre Baesso Rodrigues -,Novorizontino,1069,17:49
2,11,13,65,2,18:00,63,Emerson Raymundo Santos -,Atlético,1068,17:48
3,12,8,75,2,28:00,73,Thalisson Kelven da Silva -,Mirassol,1048,17:28
4,12,1,76,2,57:00,102,João Vitor Xavier de Almeida -,Avaí,1077,17:57
5,14,3,95,2,45:00,90,Roberto Heuchayer Santos de Araujo -,Novorizontino,1125,18:45
6,16,7,105,2,43:00,88,Tiago Pagnussat -,Ceará,1198,19:58
7,18,6,115,2,49:00,94,MDAlexandre Goncalves Santoro -,Ituano,769,12:49
8,19,17,119,1,46:00,46,Felipe Garcia Goncalves -,Abc,1126,18:46
9,22,1,145,1,42:00,42,Rafael Gustavo Meneghel Gava -,Avaí,1182,19:42
10,23,18,150,2,10:00,55,Lucas de Oliveira Teodoro Falcao -,Crb,1090,18:10
11,27,11,174,2,53:00,98,Jose Luiz Sant'ana -,Ponte Preta,1133,18:53
12,30,15,195,2,12:00,57,Marcio Gleyson Leite da Silva -,Botafogo,1212,20:12
13,39,12,244,2,19:00,64,TGCelio Jose Rossi -,Sampaio Corrêa,1219,20:19
14,41,13,258,1,17:00,17,Airton Moises Santos Sousa -,Atlético,1217,20:17
15,46,14,284,2,47:00,92,Emerson Gustavo Pinto dos Santos -,Juventude,1202,20:02
16,46,12,285,1,45:00,45,Venicius dos Santos Cascais -,Sampaio Corrêa,1140,19:00
17,48,5,302,2,14:00,59,Joao Pedro Mendes Santos -,Tombense,1169,19:29
18,48,1,303,2,37:00,82,Victor Julio Alves de Paula -,Avaí,1192,19:52
19,51,4,323,1,48:00,48,Eder Citadin Martins -,Criciúma,1188,19:48
20,51,4,324,2,32:00,77,Rodrigo Fagundes de Freitas -,Criciúma,1232,20:32
21,52,1,332,1,3:00,3,Felipe Florencio da Silva -,Avaí,1293,21:33
22,58,11,368,2,1:00,46,Antonio Feliphe Costa Silva -,Ponte Preta,991,16:31
23,69,18,415,2,19:00,64,Guilherme Kennedy Romao -,Crb,1174,19:34
24,69,18,416,1,16:00,16,Lucas Eduardo Lima da Silva -,Crb,1111,18:31
25,72,19,437,2,28:00,73,Luis Fernando Rosa Flores -,Sport,1378,22:58
26,84,4,503,2,51:00,96,Claudio Coelho Salvatico -,Criciúma,1041,17:21
27,88,5,523,2,46:00,91,Marcelo Augusto Oliveira Chamusca -,Tombense,1201,20:01
28,96,7,576,2,54:00,99,Caique de Jesus Goncalves -,Ceará,1254,20:54
29,97,1,588,2,52:00,97,TGMarcos Vicente dos Santos -,Avaí,1072,17:52
30,104,0,625,2,35:00,80,Alan Santos da Silva -,Guarani,1235,20:35
31,106,12,639,2,22:00,67,Marcio Fernandes Figueiredo -,Sampaio Corrêa,1222,20:22
32,106,16,640,2,25:00,70,Paulo Roberto Moccelin -,Londrina,1225,20:25
33,107,9,650,2,27:00,72,Gildson Pablo de Oliveira Silva -,Chapecoense,1227,20:27
34,108,5,656,2,5:00,50,Roger de Carvalho -,Tombense,1205,20:05
35,110,11,662,1,48:00,48,Fabio Pizarro Sanches -,Ponte Preta,708,11:48
36,124,8,743,2,23:00,68,Fernando Jose Marques Maciel -,Mirassol,743,12:23
37,125,14,747,2,13:00,58,Jadson Alves dos Santos -,Juventude,1363,22:43
38,126,12,754,1,48:00,48,MGMarcos Riccelli Costa Mendes -,Sampaio Corrêa,978,16:18
39,130,0,776,2,44:00,89,Matheus Bueno Batista -,Guarani,1394,23:14
40,131,5,786,1,4:00,4,Bruno Cesar Pereira Silva -,Tombense,1294,21:34
41,136,1,817,2,28:00,73,Natanael Batista Pimenta -,Avaí,1228,20:28
42,139,17,841,2,2:00,47,Anderson Luiz Valinas dos Santos -,Abc,1202,20:02
43,139,17,842,2,49:00,94,Felipe Garcia Goncalves -,Abc,1249,20:49
44,139,13,843,2,31:00,76,Diego Terra Loureiro -,Atlético,1231,20:31
45,148,9,892,2,39:00,84,Rodrigo dos Santos de Freitas -,Chapecoense,1389,23:09
46,149,18,900,2,41:00,86,Auremir Evangelista dos Santos -,Crb,1196,19:56
47,150,16,906,2,40:00,85,Gustavo Salomao Miguel -,Londrina,760,12:40
48,152,11,922,2,42:00,87,Fabio Pizarro Sanches -,Ponte Preta,1122,18:42
49,152,1,923,1,5:00,5,Alexander Silva de Lucena -,Avaí,1025,17:05
50,152,1,924,2,15:00,60,Lucas Baptista Felix -,Avaí,1095,18:15
51,158,12,955,2,49:00,94,Leandro Ferreira Pessoa -,Sampaio Corrêa,1189,19:49
52,159,4,959,1,18:00,18,Walisson Moreira Farias Maia -,Criciúma,948,15:48
53,161,19,965,2,33:00,78,Helber Italo dos Santos -,Sport,1383,23:03
54,163,15,980,1,31:00,31,Jonas Gabriel da Silva Nunes -,Botafogo,1321,22:01
55,163,15,981,1,32:00,32,TGMarco Aurelio Tedeschi dos Santos -,Botafogo,1322,22:02
56,166,6,1008,2,20:00,65,Rafael dos Santos Carvalheira Natividade -,Ituano,1370,22:50
57,167,17,1015,2,47:00,92,Richardson Jussier Medeiros Cabral -,Abc,767,12:47
58,173,4,1048,2,23:00,68,Fabio Augusto Luciano da Silva -,Criciúma,1283,21:23
59,177,9,1073,2,51:00,96,Gustavo Cazonatti -,Chapecoense,1251,20:51
