id,nome,cbf
0,Neilton Meira Mestzk,7
1,Mayksilvan da Silva Ferreira,6
2,Bruno Pereira Mendes,9
3,Julio Cesar Czarneski,94
4,Rafael Ferreira Donato,5
5,Rian Caio Fleuri Pacheco,2
6,Vanderlei Farias da Silva,1
7,Diego Renan de Lima Ferreira,16
8,Cesar Henrique Martins,3
9,MGAndre Baesso Rodrigues,
10,Reverson Valuarth Paiva Silva -,7
11,MGAndre Baesso Rodrigues -,
12,Marcelo Hermes,6
13,Cristovam Roberto Ribeiro da Silva,2
14,Romulo da Silva Machado,17
15,Claudio Aparecido Tencati,TC
16,Kevin Peterson dos Santos Silva,2
17,Bruno Cesar Pereira Silva,5
18,Wesley Augusto Henn Marth,3
19,Marcelo Jose de Lima Filho,11
20,Egidio de Araujo Pereira Junior,16
21,Luiz Otavio Anacleto Leandro,13
22,PFMartin Miguel Paolorosso,
23,Paulo Victor Ferreira de Jesus,11
24,Gilmar Dal Pozzo,TC
25,Marthã Fernando Goncalves Pimenta,15
26,Jose Aldo Soares de Oliveira Filho,8
27,Eduardo Luiz Person,10
28,Argelico Fucks,TC
29,Pablo Fabricio Siles Morales,25
30,Felipe Albuquerque Felippi,2
31,Douglas do Espirito Santo Torres,31
32,Guilherme da Trindade Dubas,6
33,Fernando Jose Marques Maciel,21
34,Jose Rodrigo Andrade Ramos,8
35,Leonardo Gamalho de Souza,9
36,Marco Antonio da Silva Carvalho,5
37,João Victor Carroll Santana,3
38,Jose Carlos Cracco Neto,2
39,Felipe Amaral Casarin Damasceno,8
40,Cassio Gabriel Vilela Ferreira,21
41,Guilherme Henrique Silva Goncalves,17
42,Eloir Silva Moreira,15
43,Luiz Otavio Alves Marcolino,8
44,Vinicius Leonardo da Silva,3
45,Rhaldney Norberto Simião Gomes,8
46,Lucas Xavier Gazal,3
47,Bruno Nunes de Barros,17
48,Gerardo Arturo Gordillo Olivero,20
49,Guilherme Miranda Madruga Gomes,5
50,Gustavo Simon Vertuoso,20
51,Marcio Gleyson Leite da Silva,16
52,Matheus Albino Carneiro,1
53,Stephannyo Afonso Lopes de Oliveira,15
