id,partidaId,timeId,jogadorId,tempo,minuto,minutoGeral,jogador,time,horarioInt,horarioString
330,56,7,352,1,45:00,45,Willian Marlon Ferreira Moraes,Ceará,1140,19:00
331,56,5,353,2,22:00,67,Joao Pedro Mendes Santos,Tombense,1177,19:37
332,56,5,354,2,39:00,84,Flavio Pinto Tanajura,Tombense,1194,19:54
333,56,5,355,1,48:00,48,Bruno Cesar Pereira Silva,Tombense,1143,19:03
334,57,14,356,1,18:00,18,Romario Guilherme dos Santos,Juventude,978,16:18
335,57,14,357,1,34:00,34,Guilherme Gehring,Juventude,994,16:34
336,57,14,358,1,37:00,37,Reginaldo Lopes de Jesus,Juventude,997,16:37
337,57,14,359,2,44:00,89,Jadson Alves dos Santos,Juventude,1064,17:44
338,57,8,360,2,18:00,63,Luis Henrique Soares Firmino,Mirassol,1038,17:18
339,57,8,361,1,19:00,19,Mozart Santos Batista Junior,Mirassol,979,16:19
340,57,8,362,1,26:00,26,Leandro Vilela Sales Teixeira,Mirassol,986,16:26
341,57,8,363,1,35:00,35,Fernando Jose Marques Maciel,Mirassol,995,16:35
342,57,8,364,1,42:00,42,Lucas Ramon Batista Silva,Mirassol,1002,16:42
343,58,11,365,2,19:00,64,Artur Sergio Batista de Souza,Ponte Preta,1009,16:49
344,58,11,366,1,22:00,22,Antonio Feliphe Costa Silva,Ponte Preta,952,15:52
345,58,16,367,2,09:00,54,Joao Paulo da Silva,Londrina,999,16:39
346,59,17,369,1,24:00,24,Thallyson Gabriel Lobo Seabra,Abc,1104,18:24
347,59,17,370,1,50:00,50,Felipe Garcia Goncalves,Abc,1130,18:50
348,59,15,371,1,20:00,20,TGMarco Aurelio Tedeschi dos Santos,Botafogo,1100,18:20
349,59,15,372,2,42:00,87,Edson Guilherme Mendes dos Santos,Botafogo,1182,19:42
350,59,15,373,1,50:00,50,Carlos Manuel de Resende Teodoro,Botafogo,1130,18:50
351,60,11,374,1,01:00,1,Felipe Amaral Casarin Damasceno,Ponte Preta,1081,18:01
352,60,11,375,2,34:00,79,Jeferson Marinho dos Santos,Ponte Preta,1174,19:34
353,60,11,376,2,38:00,83,Luiz Felipe Oliveira de Paula,Ponte Preta,1178,19:38
354,60,11,377,2,39:00,84,Fabio Pizarro Sanches,Ponte Preta,1179,19:39
355,60,11,378,2,41:00,86,Artur Sergio Batista de Souza,Ponte Preta,1181,19:41
356,60,11,379,2,48:00,93,Mailton dos Santos de Sa,Ponte Preta,1188,19:48
357,61,1,380,2,27:00,72,Lucas Baptista Felix,Avaí,1377,22:57
358,61,1,381,2,30:00,75,Igor Inocencio de Oliveira,Avaí,1380,23:00
359,61,1,382,2,36:00,81,Gustavo Eliseo Morinigo Vazquez,Avaí,1386,23:06
360,62,4,383,2,19:00,64,Jonathan Francisco Lemos,Criciúma,1009,16:49
361,62,4,384,1,35:00,35,Fellipe Mateus de Sena Araujo,Criciúma,965,16:05
362,62,4,385,1,46:00,46,Miqueias Cabral Evaristo,Criciúma,976,16:16
363,62,7,386,2,11:00,56,Richard de Oliveira Costa,Ceará,1001,16:41
364,62,7,387,1,28:00,28,Richardson Fernandes dos Santos,Ceará,958,15:58
365,62,7,388,1,32:00,32,Danilo Carvalho Barcelos,Ceará,962,16:02
366,62,7,389,1,34:00,34,Caique de Jesus Goncalves,Ceará,964,16:04
367,62,7,390,2,41:00,86,Bruno Ferreira Ventura Diniz,Ceará,1031,17:11
368,63,6,391,1,29:00,29,Carlos Roberto da Cruz Junior,Ituano,1049,17:29
369,63,6,392,2,31:00,76,Iury de Oliveira Nascimento,Ituano,1111,18:31
370,63,6,393,2,51:00,96,Gilmar Dal Pozzo,Ituano,1131,18:51
371,63,3,394,2,20:00,65,Cesar Henrique Martins,Novorizontino,1100,18:20
372,63,3,395,2,42:00,87,Jose Mateus Junior,Novorizontino,1122,18:42
373,64,10,396,2,18:00,63,Diego Cesar de Oliveira,Vitória,1218,20:18
374,64,10,397,1,45:00,45,Leonardo da Silva Gomes,Vitória,1185,19:45
375,64,8,398,1,36:00,36,Denis Yashiro Camargo Iwamura,Mirassol,1176,19:36
376,64,8,399,1,40:00,40,Yuri Oliveira Lima,Mirassol,1180,19:40
377,65,15,400,1,21:00,21,Luiz Henrique Araujo Silva,Botafogo,981,16:21
378,65,15,401,2,37:00,82,Tarik Michel Kedes Boschetti,Botafogo,1057,17:37
379,65,15,402,1,45:00,45,Salatiel de Oliveira Gabriel Junior,Botafogo,1005,16:45
380,66,17,403,1,25:00,25,Felipe Garcia Goncalves,Abc,1045,17:25
381,66,12,404,2,29:00,74,Mauricio Silva dos Santos,Sampaio Corrêa,1109,18:29
382,67,14,405,2,30:00,75,Roberto Badermann Rebechi,Juventude,750,12:30
383,67,14,406,2,33:00,78,Alan Luciano Ruschel,Juventude,753,12:33
384,67,14,407,2,51:00,96,Romario Guilherme dos Santos,Juventude,771,12:51
385,67,9,408,2,23:00,68,Kaio Silva Mendes,Chapecoense,743,12:23
386,68,16,409,2,42:00,87,Diego Jardel Koester,Londrina,1242,20:42
387,68,5,410,2,15:00,60,Pierre Wagner Oliveira dos Santos,Tombense,1215,20:15
388,68,5,411,2,47:00,92,Wesley Augusto Henn Marth,Tombense,1247,20:47
389,69,18,412,2,19:00,64,Fabio Augusto Schirmann,Crb,1174,19:34
390,69,2,413,1,27:00,27,Matheus Henrique de Souza de Carvalho,Vila Nova,1122,18:42
391,69,2,414,2,27:00,72,Igor Henrique Martins Machado,Vila Nova,1182,19:42
392,70,0,417,1,14:00,14,Isaque Elias Brito,Guarani,1289,21:29
393,70,0,418,2,17:00,62,Matheus Barbosa Teixeira,Guarani,1352,22:32
394,70,0,419,1,48:00,48,Bruno Jose de Souza,Guarani,1323,22:03
395,70,9,420,1,14:00,14,Bruno Vinicius Simão Elesbão,Chapecoense,1289,21:29
396,70,9,421,2,27:00,72,Kaio Silva Mendes,Chapecoense,1362,22:42
397,70,9,422,2,28:00,73,Murilo Oliveira de Freitas,Chapecoense,1363,22:43
398,70,9,423,1,42:00,42,Bruno dos Santos Nazario,Chapecoense,1317,21:57
399,70,9,424,1,50:00,50,Carlos Eduardo de Souza Vieira,Chapecoense,1325,22:05
400,70,9,425,2,46:00,91,Lucas Ribamar Lopes dos Santos Bibiano,Chapecoense,1381,23:01
401,71,2,426,2,08:00,53,Leonardo da Silva Cruz Duarte,Vila Nova,1208,20:08
402,71,2,427,1,26:00,26,Joao Paulo Ferreira Lourenco,Vila Nova,1166,19:26
403,71,2,428,1,34:00,34,Eduardo Vinicius Domachowski,Vila Nova,1174,19:34
404,71,6,429,2,18:00,63,Marthã Fernando Goncalves Pimenta,Ituano,1218,20:18
405,71,6,430,2,22:00,67,Thiago Beserra dos Santos,Ituano,1222,20:22
406,71,6,431,1,26:00,26,Sosthenes Jose Santos Salles,Ituano,1166,19:26
407,71,6,432,2,41:00,86,Yann Del Pino Rolim,Ituano,1241,20:41
408,71,6,433,2,48:00,93,Guilherme Augusto Pacheco,Ituano,1248,20:48
409,72,19,434,2,09:00,54,Ronaldo Henrique Ferreira da Silva,Sport,1359,22:39
410,72,19,435,2,25:00,70,Andre Felipe de Almeida Santos,Sport,1375,22:55
411,72,4,436,2,22:00,67,Walisson Moreira Farias Maia,Criciúma,1372,22:52
412,73,8,438,1,16:00,16,Manoel Ferreira Lima Neto,Mirassol,1156,19:16
413,73,8,439,1,40:00,40,Francisco Hyun Sol Kim,Mirassol,1180,19:40
414,74,1,440,2,10:00,55,Alan Henrique Costa,Avaí,1360,22:40
415,74,1,441,2,35:00,80,Robson Michael Signorini,Avaí,1385,23:05
416,74,3,442,1,36:00,36,Eduardo Alexandre Baptista,Novorizontino,1326,22:06
417,74,3,443,2,47:00,92,Renato Palm da Silveira,Novorizontino,1397,23:17
418,75,18,444,2,03:00,48,Matheus Antunes Ribeiro,Crb,1203,20:03
419,75,18,445,2,12:00,57,Saimon Pains Tormen,Crb,1212,20:12
420,75,18,446,1,26:00,26,Anderson Leite Morais,Crb,1166,19:26
421,75,18,447,2,32:00,77,Lucas de Oliveira Teodoro Falcao,Crb,1232,20:32
422,75,18,448,2,35:00,80,Welington Pereira Rodrigues,Crb,1235,20:35
423,75,18,449,1,48:00,48,Edimar Curitiba Fraga,Crb,1188,19:48
424,76,11,450,1,02:00,2,Luiz Felipe Oliveira de Paula,Ponte Preta,1292,21:32
425,76,11,451,2,36:00,81,Caique Franca Godoy,Ponte Preta,1386,23:06
426,76,11,452,1,40:00,40,Mateus Ferreira da Silva,Ponte Preta,1330,22:10
427,76,11,453,2,43:00,88,Edson Rogerio Gomes de Moraes Junior,Ponte Preta,1393,23:13
428,76,11,454,2,47:00,92,Antonio Feliphe Costa Silva,Ponte Preta,1397,23:17
429,76,12,455,1,43:00,43,Marcio Fernandes Figueiredo Junior,Sampaio Corrêa,1333,22:13
430,76,12,456,1,45:00,45,Mateus Cardoso Francisco,Sampaio Corrêa,1335,22:15
431,77,14,457,2,24:00,69,Ruan Pereira Duarte,Juventude,1224,20:24
432,77,14,458,1,31:00,31,Anderson Luis de Carvalho,Juventude,1171,19:31
433,77,13,459,2,01:00,46,Wellison Matheus Rodrigues Regis,Atlético,1201,20:01
434,77,13,460,1,11:00,11,Rhaldney Norberto Simião Gomes,Atlético,1151,19:11
435,78,16,461,2,25:00,70,Natham Fernando Reis da Conceicao,Londrina,1225,20:25
436,78,16,462,1,32:00,32,Paulo Roberto Moccelin,Londrina,1172,19:32
437,78,16,463,2,46:00,91,Vitor Correia da Silva,Londrina,1246,20:46
438,79,17,464,2,42:00,87,Luiz Gustavo Tavares Conde,Abc,1392,23:12
439,79,17,465,2,43:00,88,Caique Barbosa Rodrigues,Abc,1393,23:13
440,79,17,466,2,46:00,91,Bruno Felipe Lima Teixeira,Abc,1396,23:16
441,79,17,467,2,49:00,94,Stephannyo Afonso Lopes de Oliveira,Abc,1399,23:19
442,79,5,468,2,01:00,46,Kevin Peterson dos Santos Silva,Tombense,1351,22:31
443,79,5,469,2,16:00,61,Jaderson Flores dos Reis,Tombense,1366,22:46
444,79,5,470,2,27:00,72,Roger de Carvalho,Tombense,1377,22:57
445,79,5,471,2,36:00,81,Marcelo Augusto Oliveira Chamusca,Tombense,1386,23:06
446,79,5,472,1,46:00,46,Bruno Cesar Pereira Silva,Tombense,1336,22:16
447,80,11,473,1,05:00,5,Mateus Ferreira da Silva,Ponte Preta,665,11:05
448,80,11,474,2,11:00,56,Elvis Vieira Araujo,Ponte Preta,731,12:11
449,80,11,475,1,42:00,42,Fabio Pizarro Sanches,Ponte Preta,702,11:42
450,80,2,476,2,08:00,53,Joao Paulo Ferreira Lourenco,Vila Nova,728,12:08
451,80,2,477,1,31:00,31,Guilherme Parede Pinheiro,Vila Nova,691,11:31
452,80,2,478,1,34:00,34,Rodrigo Silva Nascimento,Vila Nova,694,11:34
453,81,13,479,1,17:00,17,Renato Alves de Mendonça,Atlético,1097,18:17
454,81,13,480,2,28:00,73,Heron Crespo da Silva,Atlético,1168,19:28
455,81,13,481,2,44:00,89,Shaylon Kallyson Cardozo,Atlético,1184,19:44
456,81,13,482,2,48:00,93,Ramon Menezes Roma,Atlético,1188,19:48
457,81,13,483,2,46:00,91,Kelvin Giacobe Alves dos Santos,Atlético,1186,19:46
458,81,15,484,2,19:00,64,Patrick de Carvalho Brey,Botafogo,1159,19:19
459,82,10,485,2,41:00,86,Marco Antonio da Silva Carvalho,Vitória,1151,19:11
460,82,1,486,2,08:00,53,Natanael Batista Pimenta,Avaí,1118,18:38
461,82,1,487,1,09:00,9,João Vitor Xavier de Almeida,Avaí,1059,17:39
462,82,1,488,2,25:00,70,Eduardo Jacinto de Biasi,Avaí,1135,18:55
463,82,1,489,2,39:00,84,Diosnel Burgos Gayoso,Avaí,1149,19:09
464,82,1,490,2,47:00,92,Julio Cesar Czarneski,Avaí,1157,19:17
465,83,16,491,1,30:00,30,Leonardo Moreira Morais,Londrina,1050,17:30
466,83,16,492,2,32:00,77,Patrick Marcelino,Londrina,1112,18:32
467,83,16,493,1,34:00,34,Joao Paulo da Silva,Londrina,1054,17:34
468,83,16,494,2,46:00,91,Natham Fernando Reis da Conceicao,Londrina,1126,18:46
469,83,6,495,1,10:00,10,Wesley Frazan Bernardo,Ituano,1030,17:10
470,83,6,496,2,31:00,76,Helio Cunha Borges,Ituano,1111,18:31
471,84,4,497,1,16:00,16,Cristovam Roberto Ribeiro da Silva,Criciúma,946,15:46
472,84,4,498,2,16:00,61,Arilson Carlos Alves Baptista,Criciúma,1006,16:46
473,84,4,499,1,38:00,38,Walisson Moreira Farias Maia,Criciúma,968,16:08
474,84,8,500,1,18:00,18,Gabriel Santana Pinto,Mirassol,948,15:48
475,84,8,501,2,52:00,97,Daniel de Oliveira Sertanejo,Mirassol,1042,17:22
476,84,8,502,2,49:00,94,Vinicius Duarte,Mirassol,1039,17:19
477,85,17,504,1,19:00,19,Bruno Felipe Lima Teixeira,Abc,1099,18:19
478,85,17,505,2,27:00,72,Jhonnathan Espedito Coco Wagner,Abc,1167,19:27
479,85,17,506,1,34:00,34,Simao Verza Bertelli,Abc,1114,18:34
480,86,7,507,1,22:00,22,Gabriel Santos Cordeiro Lacerda,Ceará,952,15:52
481,86,7,508,1,29:00,29,Caique de Jesus Goncalves,Ceará,959,15:59
482,86,7,509,2,32:00,77,Erick de Arruda Serafim,Ceará,1022,17:02
483,86,3,510,1,43:00,43,Aylon Darwin Tavella,Novorizontino,973,16:13
484,86,3,511,1,45:00,45,Eduardo Alexandre Baptista,Novorizontino,975,16:15
485,87,12,512,2,25:00,70,Rafael Oliveira Silva,Sampaio Corrêa,1285,21:25
486,87,12,513,1,32:00,32,Marcio Fernandes Figueiredo Junior,Sampaio Corrêa,1232,20:32
487,87,9,514,1,20:00,20,Bruno Vinicius Simão Elesbão,Chapecoense,1220,20:20
488,87,9,515,2,28:00,73,Emaxwell Souza de Lima,Chapecoense,1288,21:28
489,88,0,516,2,17:00,62,Diogo Mateus de Almeida Rodrigues Maciel,Guarani,1172,19:32
490,88,0,517,2,41:00,86,Wenderson da Silva Costa Ferreira,Guarani,1196,19:56
