id,nome,credencial,estado
0,Emerson Ricardo de Almeida Andrade,AB,BA
1,Leo Simão Holanda,AB,CE
2,Denis da Silva Ribeiro Serafim,AB,AL
3,Bruno Arleu de Araujo,FIFA,RJ
4,Bruno Mota Correia,BAS,RJ
5,Wagner do Nascimento Magalhaes,FIFA,RJ
6,Joao Vitor Gobi,CD,SP
7,Yuri Elino Ferreira da Cruz,AB,RJ
8,Flavio Rodrigues de Souza,FIFA,SP
9,Caio Max Augusto Vieira,AB,RN
10,Leandro Pedro Vuaden,MTR,RS
11,Felipe Fernandes de Lima,AB,MG
12,Maguielson Lima Barbosa,AB,DF
13,Murilo Francisco Misson Junior,CD,MG
14,Paulo Cesar Zanovelli da Silva,FIFA,MG
15,Bruno Pereira Vasconcelos,AB,BA
16,Marcelo de Lima Henrique,MTR,CE
17,Matheus Delgado Candançan,CD,SP
18,Diego Pombo Lopez,AB,BA
19,Jose Mendonca da Silva Junior,AB,PR
20,Paulo Henrique Schleich Vollkopf,AB,MS
21,Jefferson Ferreira de Moraes,AB,GO
22,Thiago Luis Scarascati,AB,SP
23,Marielson Alves Silva,AB,BA
24,Vinicius Goncalves Dias Araujo,AB,SP
25,Lucas Paulo Torezin,AB,PR
26,Luiz Flavio de Oliveira,MTR,SP
27,Dyorgines Jose Padovani de Andrade,AB,ES
28,Douglas Marques das Flores,AB,SP
29,Rafael Rodrigo Klein,AB,RS
30,Rodrigo Jose Pereira de Lima,AB,PE
31,Savio Pereira Sampaio,FIFA,DF
32,Anderson Daronco,FIFA,RS
33,Edina Alves Batista,FIFA,SP
34,Andre Luiz Skettino Policarpo Bento,AB,MG
35,Jean Pierre Goncalves Lima,AB,RS
36,Douglas Schwengber da Silva,AB,RS
37,Leonardo Ferreira Lima,AB,PR
38,Fabio Augusto Santos Sa Junior,AB,SE
39,Wilton Pereira Sampaio,FIFA,GO
40,Alisson Sidnei Furtado,AB,TO
41,Michelangelo Martins de Almeida Junior,AB,PE
42,Afro Rocha de Carvalho Filho,CD,PB
43,Paulo Henrique de Melo Salmazio,AB,MS
44,Luiz Augusto Silveira Tisne,AB,SC
45,Deborah Cecilia Cruz Correia,FIFA,PE
46,Jonathan Antero Silva,AB,RO
47,Arthur Gomes Rabelo,AB,ES
48,Rafael Martins Diniz,AB,DF
49,Leonardo Willers Lorenzatto,AB,MT
50,Rodrigo Batista Raposo,AB,DF
51,Ivan da Silva Guimaraes Junior,AB,AM
52,Jonathan Benkenstein Pinheiro,CD,RS
53,Paulo Roberto Alves Junior,AB,PR
54,Paulo Belence Alves dos Prazeres Filho,CD,PE
55,Davi de Oliveira Lacerda,CD,ES
56,Thayslane de Melo Costa,FIFA,SE
57,Tarcizo Pinheiro Caetano,CD,RJ
58,Gustavo Ervino Bauermann,AB,SC
59,Braulio da Silva Machado,FIFA,SC
60,Luiz Cesar de Oliveira Magalhaes,AB,CE
61,Lucas Canetto Bellote,CD,SP
62,Ramon Abatti Abel,FIFA,SC
63,Luciano da Silva Miranda Filho,AB,CE
