id,nome,cbf
150,Rhaldney Norberto Simi,8
151,Jose Ivaldo Almeida Silva,5
152,Rafael Elias da Silva,19
153,Walter Kannemann,4
154,Gabriel Lheman Xavier,3
155,Everton Augusto de Barros Ribeiro,10
156,Douglas Moreira Fagundes,17
157,Gustavo Nunes Fernandes Gomes,39
158,Jefferson David Savarino Quintero,10
159,Danilo Barbosa da Silva,5
160,Luiz Henrique Andre Rosa da Silva,7
161,Diego Nicolas de La Cruz Arcosa,18
162,Jefferson Ruan Pereira dos Santos,47
163,Claudio Rodrigues Gomes,23
164,Marcus Vinicius Oliveira Alencar,77
165,Wesley Gassova Ribeiro Teixeira,36
166,Rodrigo Garro,10
167,Gustavo Henric da Silva,19
168,Breno de Souza Bidon,27
169,Diego Henrique Costa Barbosa,4
170,Gustavo Raul Gomez Portillo,15
171,Igor Vinicius de Souza,2
172,Endrick Felipe Moreira de Sousa,9
173,Murilo Cerqueira Paim,26
174,Jonathan Calleri,9
175,Michel Daryl Araujo Villar,15
176,Luis Antonio da Rocha Junior,29
177,Pedro Augusto Borges da Costa,28
178,Paolo Mauricio Lemos Merladett,4
179,Alan Steven Franco Palma,23
180,Matheus Alexandre Anastacio de Souza,2
181,Alan Pereira Empereur,33
182,Marllon Goncalves Jeronimo Borges,4
183,Bruno de Lara Fuchs,3
184,Igor Silveira Gomes,17
185,Caique de Jesus Goncalves,95
186,Lucas Henrique Barbosa,21
187,Julimar Silva Oliveira Junior,20
188,Miguel Angel Monsalve Gonzalez,11
189,Newton Araujo da Costa Junior,8
190,Fellipe Mateus de Sena Araujo,7
191,Matheus Leonardo Sales Cardoso,17
192,Diego da Silva Costa,19
193,Walisson Moreira Farias Maia,33
194,Agustin Maximiliano Rogel Paita,18
195,Gabriel Carvalho Teixeira,34
196,Joao Wellington Gadelha Melo de Oliveira,77
197,Gabriel Ivan Mercado,25
198,Joao Marcelo Messias Ferreira,43
199,Bruno Vinicius Souza Ramos,17
200,Fernando Francisco Reges,5
201,Enner Remberto Valencia Lastra,13
202,Rafael Santos Borre Maury,19
203,Damian Josue Bobadilla Benitez,21
204,Bruno Uvini Bortolanca,25
205,Giuliano Galoppo,8
206,Alan Javier Franco,28
207,Lucas Esteves Souza,16
208,Michel Daryl Araujo Villar,15
209,Eduardo Marcelo Rodrigues Nunes,21
210,Diogo Barbosa Mendanha,6
211,Jhon Adolfo Arias Andrade,21
212,German Ezequiel Cano,14
213,Felipe Melo de Carvalho,30
214,Paulo Henrique Sampaio Filho,10
215,Victor Hugo Soares dos Santos,4
216,Julio Cesar de Rezende Miranda,5
217,Bartolomeu Jacinto Quissanga,15
218,Breno Henrique Vasconcelos Lopes,26
219,Guilherme de Jesus da Silva,2
220,Raniele Almeida Melo,14
221,Emanuel Britez,19
222,Glaybson Yago Souza Lisboa,22
223,Pedro Augusto Borges da Costa,28
224,Bruno de Jesus Pacheco,6
225,Nathan Gabriel de Souza Mendes,45
226,Igor Jesus Lima,48
227,Allan Rodrigues de Souza,21
228,Fernando Luiz Roza,5
229,Derik Gean Severino Lacerda,22
230,Murilo Cerqueira Paim,26
231,Gabriel Vinicius Menino,25
232,Jadson Alves dos Santos,16
233,Guilherme Kennedy Romao,6
234,Alix Vinicius de Souza Sampaio,4
235,Rhaldney Norberto Simi,7
236,Magno Jose da Silva,2
237,Joao Lucas de Almeida Carvalho,2
238,Anderson Luis de Carvalho,10
239,Lucas Henrique Barbosa,21
240,Bruno Gomes da Silva Clevelario,15
241,Jose Marcos Alves Luis,3
242,Ricardo Mathias da Silva,49
243,Jadson Alves dos Santos,16
244,Lyanco Evangelista Silveira Neves Vojnovic,2
245,Jemerson de Jesus Nascimento,28
246,Agustin Federico Marchesin,1
247,Deyverson Brum Silva,9
248,Reinaldo Manoel da Silva,6
249,Fausto Mariano Vera,18
250,Givanildo Vieira de Sousa,7
251,Victor Hugo Soares dos Santos,4
252,Lucas Evangelista Santana de Oliveira,8
253,Thaciano Mickael da Silva,16
254,Jadsom Meemyas de Oliveira da Silva,5
255,Leonardo Pereira,4
256,Eduardo Marcelo Rodrigues Nunes,21
257,Iury Lirio Freitas de Castilho,7
258,Pablo Felipe Teixeira,92
259,Mayke Rocha de Oliveira,12
260,Leonardo Ezequiel Godoy,29
261,Mateo Gamarra Gonzalez,15
262,Jose Manuel Alberto Lopez,42
263,Raphael Cavalcante Veiga,23
264,Fernando Luiz Roza,5
265,Rodrigo Nestor Bertalia,11
266,Vinicius Moreira de Lima,45
267,Manoel Messias Silva Carvalho,26
268,Alisson Euler de Freitas Castro,25
269,Alexsander Cristhian Gomes da Costa,5
270,Igor Vinicius de Souza,2
271,John Victor Maciel Furtado,12
272,Christian Chagas Tarouco,4
273,Hercules Pereira do Nascimento,35
274,Oscar David Romero Villamayor,70
275,Mateo Ponte Costa,4
276,Luis Eduardo Soares da Silva,66
277,Diego Manuel Hernandez Gonzalez,77
278,Alexander Nahuel Barboza Ullua,20
279,William de Asevedo Furtado,12
280,Luiz Fernando Moraes dos Santos,11
281,Matheus Fellipe Costa Pereira,10
282,Matheus Alexandre Anastacio de Souza,2
283,Eder Citadin Martins,23
284,Marcos Gabriel do Nascimento,10
285,Walter Leandro Capeloza Artune,1
286,Ronald dos Santos Lopes,6
287,Fernando Pereira do Nascimento,88
288,Tobias Pereira Figueiredo,29
289,Rodrigo Fagundes de Freitas,3
290,Guilherme Miranda Madruga Gomes,8
291,Eduardo Santos Queiroz,37
292,Fabio Pereira da Silva,2
293,Gustavo Nunes Fernandes Gomes,39
294,Mathias Adalberto Villasanti Rolon,20
295,Vitor Hugo Naum dos Santos,28
296,Nathan Gabriel de Souza Mendes,45
297,Guilherme Antonio Arana Lopes,13
298,Thaciano Mickael da Silva,16
299,Gabriel Lheman Xavier,3
300,Gustavo Henrique Furtado Scarpa,6
301,Gabriel Teixeira Aragao,11
302,Pedro Victor Delmino da Silva,38
303,Shaylon Kallyson Cardozo,10
304,Willean Bernardo Willemen,97
305,Adriano Martins da Fonseca,3
306,Eduardo Marcelo Rodrigues Nunes,21
307,Matheus Martinelli Lima,8
308,Werik Silva Pinto,45
309,Jose Marcos Alves Luis,3
310,Jadson Alves dos Santos,16
311,Luiz Henrique Andre Rosa da Silva,7
312,Wesley Gassova Ribeiro Teixeira,36
313,Felix Eduardo Torres Caicedo,3
314,Oscar David Romero Villamayor,70
315,Danilo Barbosa da Silva,5
316,Marlon Rodrigues Freitas,17
317,Alvaro Martin Barreal,21
318,Kaiki Bruno da Silva,6
