id,partidaId,timeId,jogadorId,tempo,minuto,jogador,time
275,57,3,275,2T,15:00,Mateo Ponte Costa,Botafogo
276,57,3,276,2T,29:00,Luis Eduardo Soares da Silva,Botafogo
277,57,3,277,2T,35:00,Diego Manuel Hernandez Gonzalez,Botafogo
278,57,3,278,2T,42:00,Alexander Nahuel Barboza Ullua,Botafogo
279,58,2,279,2T,11:00,William de Asevedo Furtado,Cruzeiro Saf
280,58,16,280,2T,18:00,Luiz Fernando Moraes dos Santos,Atlético
281,58,2,281,2T,20:00,Matheus Fellipe Costa Pereira,Cruzeiro Saf
282,59,15,282,1T,29:00,Matheus Alexandre Anastacio de Souza,Cuiabá Saf
283,59,18,283,2T,24:00,Eder Citadin Martins,Criciúma
284,59,18,284,2T,29:00,Marcos Gabriel do Nascimento,Criciúma
285,59,15,285,2T,30:00,Walter Leandro Capeloza Artune,Cuiabá Saf
286,59,18,286,2T,31:00,Ronald dos Santos Lopes,Criciúma
287,59,15,287,2T,40:00,Fernando Pereira do Nascimento,Cuiabá Saf
288,59,18,288,2T,40:00,Tobias Pereira Figueiredo,Criciúma
289,59,18,289,2T,42:00,Rodrigo Fagundes de Freitas,Criciúma
290,59,15,290,2T,45:00,Guilherme Miranda Madruga Gomes,Cuiabá Saf
291,60,9,291,1T,18:00,Eduardo Santos Queiroz,Grêmio
292,60,9,292,1T,22:00,Fabio Pereira da Silva,Grêmio
293,60,9,293,2T,04:00,Gustavo Nunes Fernandes Gomes,Grêmio
294,60,9,294,2T,17:00,Mathias Adalberto Villasanti Rolon,Grêmio
295,60,7,295,2T,40:00,Vitor Hugo Naum dos Santos,Red Bull Bragantino
296,60,7,296,2T,43:00,Nathan Gabriel de Souza Mendes,Red Bull Bragantino
297,61,11,297,1T,15:00,Guilherme Antonio Arana Lopes,Atlético Mineiro Saf
298,61,1,298,1T,44:00,Thaciano Mickael da Silva,Bahia
299,61,1,299,2T,15:00,Gabriel Lheman Xavier,Bahia
300,61,11,300,2T,31:00,Gustavo Henrique Furtado Scarpa,Atlético Mineiro Saf
301,61,1,301,2T,34:00,Gabriel Teixeira Aragao,Bahia
302,61,11,302,2T,38:00,Pedro Victor Delmino da Silva,Atlético Mineiro Saf
303,62,16,303,1T,22:00,Shaylon Kallyson Cardozo,Atlético
304,62,4,304,1T,28:00,Willean Bernardo Willemen,Vitória
305,62,16,305,1T,32:00,Adriano Martins da Fonseca,Atlético
306,62,4,306,2T,03:00,Eduardo Marcelo Rodrigues Nunes,Vitória
307,63,6,307,2T,19:00,Matheus Martinelli Lima,Fluminense
308,63,19,308,2T,30:00,Werik Silva Pinto,Juventude
309,63,19,309,2T,36:00,Jose Marcos Alves Luis,Juventude
310,63,19,310,2T,45:00,Jadson Alves dos Santos,Juventude
311,65,3,311,1T,28:00,Luiz Henrique Andre Rosa da Silva,Botafogo
312,65,10,312,1T,34:00,Wesley Gassova Ribeiro Teixeira,Corinthians
313,65,10,313,1T,39:00,Felix Eduardo Torres Caicedo,Corinthians
314,65,3,314,2T,19:00,Oscar David Romero Villamayor,Botafogo
315,65,3,315,2T,25:00,Danilo Barbosa da Silva,Botafogo
316,65,3,316,2T,34:00,Marlon Rodrigues Freitas,Botafogo
317,66,2,317,1T,12:00,Alvaro Martin Barreal,Cruzeiro Saf
318,66,2,318,2T,18:00,Kaiki Bruno da Silva,Cruzeiro Saf
319,66,12,319,2T,35:00,Alisson Euler de Freitas Castro,São Paulo
320,67,14,320,1T,18:00,Antonio Feliphe Costa Silva,Athletico Paranaense
321,67,13,321,1T,41:00,Pedro Augusto Borges da Costa,Fortaleza
322,67,13,322,1T,42:00,Leandro Emmanuel Martinez,Fortaleza
323,67,14,323,2T,01:00,Madson Ferreira dos Santos,Athletico Paranaense
324,67,14,324,2T,03:00,Christian Roberto Alves Cardoso,Athletico Paranaense
325,67,14,325,2T,23:00,Jose Vitor Silva Neves,Athletico Paranaense
326,68,0,326,1T,18:00,Rafael Santos Borre Maury,Internacional
327,68,15,327,1T,40:00,Clayson Henrique da Silva Vieira,Cuiabá Saf
328,68,15,328,2T,04:00,Denilson Alves Borges,Cuiabá Saf
329,68,15,329,2T,31:00,Ramon Ramos Lima,Cuiabá Saf
330,68,0,330,2T,31:00,Gabriel Ivan Mercado,Internacional
331,68,15,331,2T,37:00,Eliel Chrystian Pereira Silva,Cuiabá Saf
332,69,18,332,1T,18:00,Matheus Leonardo Sales Cardoso,Criciúma
333,69,18,333,1T,32:00,Gustavo Bonatto Barreto,Criciúma
334,69,18,334,2T,16:00,Higor Matheus Meritao,Criciúma
335,69,18,335,2T,18:00,Rodrigo Fagundes de Freitas,Criciúma
336,69,18,336,2T,42:00,Luiz Gustavo Almeida Pinto,Criciúma
337,70,7,337,1T,37:00,Eric dos Santos Rodrigues,Red Bull Bragantino
338,70,7,338,2T,24:00,Vitor Hugo Naum dos Santos,Red Bull Bragantino
339,71,17,339,1T,22:00,Luiz de Araujo Guimaraes Neto,Flamengo
340,71,2,340,1T,26:00,Kaiki Bruno da Silva,Cruzeiro Saf
341,71,2,341,2T,18:00,Joao Marcelo Messias Ferreira,Cruzeiro Saf
342,72,15,342,1T,37:00,Denilson Alves Borges,Cuiabá Saf
343,72,15,343,1T,45:00,Alan Pereira Empereur,Cuiabá Saf
344,72,1,344,1T,45:00,Carlos Maria de Pena Bonino,Bahia
345,72,1,345,2T,13:00,Gabriel Lheman Xavier,Bahia
346,72,15,346,2T,45:00,Walter Leandro Capeloza Artune,Cuiabá Saf
347,73,9,347,2T,22:00,Douglas Moreira Fagundes,Grêmio
348,73,9,348,2T,24:00,Walter Kannemann,Grêmio
349,74,14,349,1T,30:00,Fernando Augusto Pereira Bueno Junior,Athletico Paranaense
350,74,14,350,1T,45:00,Mateo Gamarra Gonzalez,Athletico Paranaense
351,74,0,351,2T,08:00,Bruno Henrique Corsini,Internacional
352,75,19,352,1T,18:00,Jadson Alves dos Santos,Juventude
353,75,14,353,1T,22:00,Mateo Gamarra Gonzalez,Athletico Paranaense
354,75,14,354,2T,28:00,Gabriel Girotto Franco,Athletico Paranaense
355,75,19,355,2T,36:00,Alan Luciano Ruschel,Juventude
356,75,14,356,2T,40:00,Christian Roberto Alves Cardoso,Athletico Paranaense
357,75,14,357,2T,44:00,Bruno Zapelli,Athletico Paranaense
358,76,2,358,1T,22:00,Fabrizio Jose Peralta Ramirez,Cruzeiro Saf
359,76,2,359,2T,05:00,Jose Ivaldo Almeida Silva,Cruzeiro Saf
