id,nome,campeonatoId,arbitroId,rodada,data,horario,horarioInt,estadio,casa,visitante
0,1 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,0,0,1,13/04/2024,18:30,1110,José Pinheiro Borda / Porto Alegre,0,1
1,2 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,0,1,1,14/04/2024,17:00,1020,Magalhães Pinto / Belo Horizonte,2,3
2,3 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,0,2,1,14/04/2024,18:30,1110,Manoel Barradas / Salvador,4,5
3,4 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,0,3,1,13/04/2024,21:00,1260,Jornalista Mário Filho / Rio de Janeiro,6,7
4,5 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,0,4,1,14/04/2024,16:00,960,São Januário / Rio de Janeiro,8,9
5,6 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,0,5,1,14/04/2024,16:00,960,Arena Corinthians / Sao Paulo,10,11
6,7 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,0,6,1,13/04/2024,21:00,1260,Cícero Pompeu de Toledo / Sao Paulo,12,13
7,8 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,0,7,1,14/04/2024,16:00,960,Ligga Arena / Curitiba,14,15
8,9 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,0,8,1,14/04/2024,16:00,960,Serra Dourada / Goiania,16,17
9,10 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,0,9,1,13/04/2024,18:30,1110,Heriberto Hulse / Criciuma,18,19
10,11 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,0,10,2,17/04/2024,19:00,1140,Arena do Grêmio / Porto Alegre,9,14
11,12 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,0,11,2,17/04/2024,20:00,1200,ARENA MRV / Belo Horizonte,11,18
12,13 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,0,12,2,16/04/2024,21:30,1290,Octávio Mangabeira / Salvador,1,6
13,14 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,0,13,2,17/04/2024,21:30,1290,Jornalista Mário Filho / Rio de Janeiro,17,12
