id,nome,cbf
164,Mauricio Garcez de Jesus,11
165,Jean Dias da Costa,22
166,Nicolas Godinho Johann,11
167,Luan de Freitas Molarinho Chagas,35
168,Leandro Vilela Sales Teixeira,28
169,Yeferson Agustin Quintana Alonso -,3
170,Joao Victor Vieira Ferreira Sousa,17
171,Ramon Menezes Roma,40
172,Willian Prado Camargo,13
173,Joao Paulo Ferreira Lourenco,97
174,Saimon Pains Tormen,4
175,MDDaniel Gomes Costa,
176,Lucas Andres Mugni,10
177,Rai dos Reis Ramos,2
178,Jorge Eduardo Recalde Ramírez,28
179,Victor Matheus dos Santos Gonçalves,4
180,David Braz de Oliveira Filho,4
181,Leonardo Augusto de Oliveira,2
182,Cristiano da Silva Leite,12
183,Airton Moises Santos Sousa,30
184,João Vitor Carvalho Villela Nogueira,19
185,Thassio Marques Melo da Silva Almeida,2
186,Leandro Marcos Peruchena Pereira,19
187,Jean Victor Barros,16
188,Marlon Douglas de Sales Silva,8
189,Chayene Medeiros Oliveira Santos,11
190,Patrick de Carvalho Brey,6
191,Vladimir Orlando Cardoso de Araujo Filho,89
192,Antonio Francisco Moura Neto,25
193,Warley Leandro da Silva,28
194,João Victor Carroll Santana,34
195,Daniel de Oliveira Sertanejo,8
196,Ramon Menezes Roma,40
197,Danilo Carvalho Barcelos,14
198,Fabricio Daniel de Souza,77
199,Guilherme Castilho Carvalho,99
200,Jorge Eduardo Recalde Ramírez,28
201,Jean Carlos de Souza Irmer,5
202,Lucca Borges de Brito,11
203,Joao Paulo Ferreira Lourenco -,97
204,Igor Henrique Martins Machado,28
205,Jemmes Bruno Ribeiro da Silva,3
206,Dalberson Ferreira do Amaral,31
207,Ricardo Cesar Dantas da Silva,45
208,Adyson do Nascimento Soares,44
209,Roberto Heuchayer Santos de Araujo,6
210,Cauan Felipe de Almeida,TC
211,Leonardo Cherede Dutra,AT
212,Geovane da Silva de Souza,7
213,Wallisson Luiz Alves Maximo,77
214,William de Oliveira Pottker,10
215,Guilherme Aquino Vargas dos Santos,13
216,Willian Marlon Ferreira Moraes,6
217,Judson Silva Tavares,93
218,Marcelo da Conceiçao Benevenuto Malaquias,4
219,Gustavo Vilar dos Santos,14
220,Giovanni Piccolomo,8
221,Diogo Hereda da Silva,32
222,Giovanni Augusto Oliveira Cardoso,10
223,Saimon Pains Tormen,4
224,Umberto Lourenco Louzer Filho,TC
225,Leonardo Augusto dos Santos Pereira,38
226,Marcelo Rodrigues Souza,79
227,Geirton Marques Aires,8
228,Rodrigo Oliveira Lindoso,19
229,Edson Rogerio Gomes de Moraes Junior,3
230,Elvis Vieira Araujo,10
231,Jose Gervasio dos Santos Neto,88
232,Vinicius Rodrigues Adelino dos Santos,7
233,Fagner Ironi Daponte -,21
234,Joao Alves de Assis Silva,9
235,Pedro Henrique Cardoso de Lima,54
236,Gerson Rodolfo da Silva,5
237,Cristian Jonatan Ortiz,59
238,Ronei Gebing,15
239,Luis Antonio Ferreira Rodrigues,94
240,Paulo de Souza Junior -,18
241,Eric Almeida de Melo,14
242,Renato Palm da Silveira,33
243,Igor Henrique Martins Machado,28
244,Marcio Fernandes Figueiredo,TC
245,Bernardo Schappo,4
246,Rafael dos Santos Carvalheira Natividade,99
247,Marcelo Rodrigues Souza,79
248,Leandro Marcos Peruchena Pereira,9
249,Regis Tosatti Giacomin,27
250,Tarik Michel Kedes Boschetti,31
251,Eduardo Jose Diniz Costa,6
252,Leonardo Augusto de Oliveira,2
253,Eduardo Luiz Person,10
254,Thonny Anderson da Silva Carvalho,9
255,Miqueias Cabral Evaristo,8
256,Alan Nahuel Ruiz,10
257,Leonardo da Silva Cruz Duarte,13
258,Daniel de Oliveira Sertanejo,8
259,Ricardo Cesar Dantas da Silva,45
260,Luiz Otavio da Silva Santos,4
261,Alex Roberto Santana Rafael,23
262,Eder Ferreira Graminho,33
263,Luis Henrique Soares Firmino,11
264,Mario Sergio Valerio,33
265,Saimon Pains Tormen,4
266,Tiago Pagnussat,3
267,Igor Jose Bohn,1
268,Matheus Antunes Ribeiro,2
269,Jean Lucas Figueiredo,29
270,Jacy Maranhao Oliveira,55
271,Ronaldo Henrique Silva,90
272,Mateus Cardoso Francisco,99
273,Jhemerson Guimaraes Gaigher,8
274,Rodrigo Oliveira Lindoso,19
275,Pedro Lucas Tapias Obermuller,70
276,Paulo Roberto Moccelin,94
277,João Victor Lima Ferreira,19
278,Wesley da Conceicao Duarte Moreira,57
279,Natanael Moreira Milouski,16
280,Guilherme Macedo dos Anjos,AT
281,Lucas Jaques Varone Maia,27
282,Rafael Gustavo Meneghel Gava,8
283,Marcos Antonio Almeida Silva,77
284,Gabriel dos Santos Francisco,9
285,Breno Herculano Almeida,18
286,Lucas Ribeiro dos Santos,14
287,Edilson Jose da Silva Junior -,2
288,Rafael Gustavo Meneghel Gava -,8
289,Valdemir de Oliveira Soares -,30
290,Guilherme Castilho Carvalho,99
291,Matheus dos Santos Miranda,3
292,Diogo da Costa Silva,4
293,Saulo Rodrigues da Silva,73
294,Matheus Felipe Santos Nascimento,42
295,Igor Luiz Costa Lemos,70
296,Diego Fabian Torres,8
297,Saulo Rodrigues da Silva -,73
298,Matheus Barbosa Teixeira,8
299,Lucas Vinicius Dias Costa,3
300,Guilherme de Aguiar Camacho,14
301,Chayene Medeiros Oliveira Santos,11
302,Diogo Mateus de Almeida Rodrigues Maciel,13
303,Jefferson Junio Antonio da Silva,17
304,Matheus Bueno Batista,18
305,Leonardo da Silva Cruz Duarte,2
306,Vinicius dos Santos de Oliveira Paiva,7
307,Alberto Valentim do Carmo Neto,TC
308,Rodrigo Vasconcelos Oliveira,5
309,Marlon Yan Cavalcanti da Silva,16
310,Marcelo da Conceiçao Benevenuto Malaquias,4
311,Luis Fellipe Campos Doria,25
312,Leonardo Santiago Barcelar,19
313,Patrick Bezerra do Nascimento,88
