id,nome,credencial,estado
0,Wallas Martins Lopes,BAS,MA
1,Emerson Ricardo de Almeida Andrade,AB,BA
2,Gustavo Ervino Bauermann,AB,SC
3,Dyorgines Jose Padovani de Andrade,AB,ES
4,Lucas Guimaraes Rechatiko Horn,CD,RS
5,Fernando Antonio Mendes de Salles Nascimento Filho,CD,PA
6,Jefferson Ferreira de Moraes,AB,GO
7,Fabio Augusto Santos Sa Junior,AB,SE
8,Wagner do Nascimento Magalhaes,MTR,RJ
9,Lucas Canetto Bellote,CD,SP
10,Paulo Jose Souza Mourão,CD,MA
11,Marcos Sousa,BAS,TO
12,Anderson Ribeiro Goncalves,CD,GO
13,Bruno Nogueira Prado,BAS,BA
14,Marcio dos Santos Oliveira,CD,AL
15,Lucas Paulo Torezin,AB,PR
16,Angleison Marcos Vieira Monteiro,BAS,RO
17,Fabiano Monteiro dos Santos,BAS,SP
18,Joanilson Scarcella de Lima,CD,CE
19,Kleber Ariel Goncalves da Silva,BAS,PR
20,Douglas Marques das Flores,AB,SP
21,Emerson Souza Silva,BAS,BA
22,Leo Simao Holanda,AB,CE
23,Paulo Belence Alves dos Prazeres Filho,CD,PE
24,Luciano da Silva Miranda Filho,AB,CE
25,Alex Gomes Stefano,AB,RJ
26,Vinicius Goncalves Dias Araujo,AB,SP
27,Marielson Alves Silva,AB,BA
28,Edina Alves Batista,FIFA,SP
29,Davi de Oliveira Lacerda,CD,ES
30,Bruno Mota Correia,BAS,RJ
31,Caio Max Augusto Vieira,AB,RN
32,Joao Vitor Gobi,CD,SP
33,Felipe Fernandes de Lima,AB,MG
34,Marcelo de Lima Henrique,MTR,CE
35,Denis da Silva Ribeiro Serafim,AB,AL
36,Yuri Elino Ferreira da Cruz,AB,RJ
37,Andre Luiz Skettino Policarpo Bento,AB,MG
38,Jonathan Benkenstein Pinheiro,CD,RS
39,Matheus Delgado Candançan,CD,SP
40,Arthur Gomes Rabelo,AB,ES
41,Bruno Pereira Vasconcelos,AB,BA
42,Paulo Henrique de Melo Salmazio,AB,MS
43,Flavio Rodrigues de Souza,FIFA,SP
44,Luiz Flavio de Oliveira,MTR,SP
45,Savio Pereira Sampaio,MTR,DF
46,Wilton Pereira Sampaio,FIFA,GO
47,Anderson Daronco,FIFA,RS
48,Maguielson Lima Barbosa,AB,DF
49,Hieger Tulio Cardoso,BAS,MG
50,Antonio Dib Moraes de Sousa,AB,PI
51,Murilo Ugolini Klein,CD,PR
52,Rodrigo Jose Pereira de Lima,FIFA,PE
53,Rafael Rodrigo Klein,FIFA,RS
54,Braulio da Silva Machado,FIFA,SC
55,Paulo Cesar Zanovelli da Silva,FIFA,MG
56,Paulo Roberto Alves Junior,AB,PR
57,Lucas Casagrande,BAS,PR
58,Thaillan Azevedo Gomes,CD,AP
59,Alexandre Vargas Tavares de Jesus,AB,RJ
60,Paulo Jose Souza Mourao,CD,MA
61,Alisson Sidnei Furtado,AB,TO
62,Rodrigo da Fonseca Silva,AB,MT
63,Kleber Ariel Goncalves Silva,BAS,PR
64,Paulo Henrique Schleich Vollkopf,AB,MS
65,Bruno Arleu de Araujo,FIFA,RJ
66,Ramon Abatti Abel,FIFA,SC
67,Charly Wendy Straub Deretti,FIFA,SC
68,Daiane Muniz,FIFA,SP
69,Raimundo Rodrigues de Oliveira Junior,CD,CE
70,Olivaldo Jose Alves Moraes,CD,PA
71,Julio Cesar Pfleger,BAS,SC
