id,nome,campeonatoId,arbitroId,rodada,data,horario,horarioInt,horas,periodo,estadio,casa,visitante,numAmarelos,numVermelhos
0,1 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,0,0,1,22/04/2024,21:00,1260,21,Noite,Onésio Brasileiro Alvarenga / Goiania,0,1,5,0
1,2 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,0,1,1,21/04/2024,18:00,1080,18,Noite,Moisés Lucarelli / Campinas,2,3,5,0
2,3 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,0,2,1,19/04/2024,19:00,1140,19,Noite,Santa Cruz / Ribeirao Preto,4,5,6,0
3,4 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,0,3,1,19/04/2024,19:00,1140,19,Noite,Dr. Jorge Ismael de Biasi / Novo Horizonte,6,7,5,0
4,5 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,0,4,1,20/04/2024,16:30,990,16,Tarde,Urbano Caldeira / Santos,8,9,6,0
5,6 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,0,5,1,20/04/2024,15:30,930,15,Tarde,Índio Condá / Chapeco,10,11,3,0
6,7 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,0,6,1,23/04/2024,21:00,1260,21,Noite,Hercílio Luz / Itajai,12,13,7,0
7,8 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,0,7,1,19/04/2024,21:00,1260,21,Noite,Germano Kruger / Ponta Grossa,14,15,2,0
8,9 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,0,8,1,20/04/2024,17:00,1020,17,Tarde,Arena da Amazônia / Manaus,16,17,5,0
9,10 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,0,9,1,20/04/2024,18:00,1080,18,Noite,Governador Plácido Aderaldo Castelo / Fortaleza,18,19,7,0
10,11 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,0,10,2,28/04/2024,18:30,1110,18,Noite,Hailé Pinheiro / Goiania,19,2,8,0
11,12 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,0,11,2,26/04/2024,21:00,1260,21,Noite,Brinco de Ouro da Princesa / Campinas,1,10,4,1
12,13 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,0,12,2,29/04/2024,19:30,1170,19,Noite,José Maria de Campos Maia / Mirassol,13,18,10,1
13,14 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,0,13,2,26/04/2024,19:00,1140,19,Noite,Novelli Junior / Itu,11,14,5,0
14,15 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,0,14,2,27/04/2024,18:00,1080,18,Noite,Raimundo Sampaio / Belo Horizonte,5,6,2,1
15,16 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,0,15,2,26/04/2024,20:00,1200,20,Noite,Aderbal Ramos da Silva / Florianopolis,15,8,2,0
16,17 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,0,16,2,27/04/2024,17:00,1020,17,Tarde,Rei Pelé / Maceio,7,16,6,1
17,18 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,0,17,2,28/04/2024,16:00,960,16,Tarde,Major Antônio Couto Pereira / Curitiba,3,12,7,0
18,19 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,0,18,2,27/04/2024,17:00,1020,17,Tarde,Olímpico do Pará / Belem,9,4,8,1
19,20 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,0,19,2,26/04/2024,19:00,1140,19,Noite,Arena Pernambuco Governador Carlos Wilson Campos / São Lourenço da Mata,17,0,5,0
20,21 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,0,20,3,04/05/2024,18:00,1080,18,Noite,Onésio Brasileiro Alvarenga / Goiania,0,14,6,0
21,22 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,0,21,3,06/05/2024,20:00,1200,20,Noite,Moisés Lucarelli / Campinas,2,16,6,0
22,23 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,0,22,3,07/05/2024,21:00,1260,21,Noite,Santa Cruz / Ribeirao Preto,4,13,6,3
23,24 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,0,8,3,04/05/2024,21:00,1260,21,Noite,Novelli Junior / Itu,11,6,4,2
24,25 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,0,23,3,06/05/2024,21:00,1260,21,Noite,Urbano Caldeira / Santos,8,1,2,0
25,26 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,0,24,3,04/05/2024,17:00,1020,17,Tarde,Índio Condá / Chapeco,10,5,5,0
26,27 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,0,25,3,05/05/2024,16:00,960,16,Tarde,Hercílio Luz / Itajai,12,19,7,0
27,28 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,0,26,3,03/05/2024,21:30,1290,21,Noite,Major Antônio Couto Pereira / Curitiba,3,17,10,0
28,29 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,0,27,3,03/05/2024,19:00,1140,19,Noite,Leônidas Sobré de Castro / Belem,9,15,5,1
29,30 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,0,5,3,06/05/2024,19:00,1140,19,Noite,Presidente Vargas / Fortaleza,18,7,9,0
30,31 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,0,7,4,10/05/2024,21:30,1290,21,Noite,Hailé Pinheiro / Goiania,19,11,4,0
31,32 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,0,28,4,11/05/2024,17:00,1020,17,Tarde,Brinco de Ouro da Princesa / Campinas,1,4,9,0
32,33 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,0,19,4,12/05/2024,16:00,960,16,Tarde,José Maria de Campos Maia / Mirassol,13,9,4,0
33,34 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,0,15,4,10/05/2024,19:00,1140,19,Noite,Dr. Jorge Ismael de Biasi / Novo Horizonte,6,18,7,1
34,35 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,0,1,4,08/05/2024,21:00,1260,21,Noite,Raimundo Sampaio / Belo Horizonte,5,0,10,0
35,36 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,0,29,4,11/05/2024,21:00,1260,21,Noite,Aderbal Ramos da Silva / Florianopolis,15,3,7,0
36,37 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,0,30,4,10/05/2024,21:30,1290,21,Noite,Rei Pelé / Maceio,7,10,7,0
37,38 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,0,8,4,11/05/2024,17:00,1020,17,Tarde,Germano Kruger / Ponta Grossa,14,2,5,1
38,39 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,0,31,4,11/05/2024,17:00,1020,17,Tarde,Arena da Amazônia / Manaus,16,8,1,0
39,40 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,0,32,4,11/05/2024,17:00,1020,17,Tarde,Arena Pernambuco Governador Carlos Wilson Campos / São Lourenço da Mata,17,12,5,1
